<generator object PPO.save_probs.<locals>.<genexpr> at 0x00000233FE22BA70>
[11.1888113  9.090909 ]
[ 6.73076916 11.62587452]
[11.01398563  8.74125862]
[ 6.90559435 11.53846169]
[9.090909   8.91608429]
[ 6.90559435 11.53846169]
[9.090909   8.91608429]
[ 6.90559435 11.53846169]
[9.090909   8.91608429]
[ 6.90559435 11.53846169]
[9.090909   8.91608429]
[ 6.90559435 11.53846169]
[7.60489511 8.56643391]
[13.11188793  7.60489511]
[7.60489511 8.56643391]
[13.11188793  7.60489511]
[6.99300718 9.00349617]
[10.22727299  7.69230747]
[6.99300718 9.00349617]
[8.82867146 7.60489511]
[6.99300718 9.00349617]
[8.82867146 7.60489511]
[6.99300718 9.00349617]
[7.77972031 7.77972031]
[ 6.55594397 11.01398563]
[7.16783237 8.3041954 ]
[9.79020977 6.90559435]
[7.16783237 8.3041954 ]
[8.04195786 7.60489511]
[6.99300718 8.82867146]
[7.34265757 7.77972031]
[11.10139847  6.90559435]
[6.99300718 8.39160824]
[8.04195786 7.60489511]
[6.99300718 8.39160824]
[7.34265757 7.77972031]
[11.53846169  6.73076916]
[7.60489511 9.00349617]
[9.090909   8.04195786]
[7.60489511 9.00349617]
[8.47902107 8.12937069]
