<generator object TPPO.save_probs.<locals>.<genexpr> at 0x00000149A9D878B0>
[ 5.42540073 18.98890305]
[33.04562378  7.2749691 ]
[ 5.42540073 18.98890305]
[33.04562378  7.2749691 ]
[ 4.80887794 23.92108536]
[33.04562378  7.2749691 ]
[ 4.80887794 23.92108536]
[33.04562378  7.2749691 ]
[ 5.5487051  18.24907494]
[21.20838547  6.53514194]
[ 4.93218231 21.33168983]
[20.71516609  5.79531431]
[ 6.16522789 15.28976536]
[20.71516609  5.79531431]
[ 6.16522789 15.28976536]
[19.85203362  5.42540073]
[ 6.16522789 15.28976536]
[19.85203362  5.42540073]
[ 6.04192352 12.57706547]
[19.85203362  5.42540073]
[ 6.04192352 12.57706547]
[13.68680668  5.42540073]
[ 6.04192352 12.57706547]
[13.68680668  5.42540073]
[ 6.78175116 10.60419273]
[13.68680668  5.42540073]
[ 6.78175116 10.60419273]
[13.68680668  5.42540073]
[ 6.78175116 10.60419273]
[13.68680668  5.42540073]
[6.4118371 9.0012331]
[9.12453747 5.17879152]
[6.65844631 7.39827394]
[7.02835989 4.93218231]
[6.65844631 7.39827394]
[7.02835989 4.93218231]
[6.65844631 7.39827394]
[7.02835989 4.93218231]
[6.90505552 6.28853273]
[ 6.65844631 13.68680668]
[6.90505552 6.28853273]
[ 6.04192352 12.20715141]
[6.90505552 6.28853273]
[ 6.04192352 12.20715141]
[5.79531431 5.30209637]
[ 6.04192352 12.20715141]
[5.79531431 5.30209637]
[5.5487051  9.98766994]
[5.79531431 5.30209637]
[5.5487051  9.98766994]
[4.19235516 4.80887794]
[4.19235516 3.69913697]
[3.45252776 3.45252776]
[4.43896437 5.05548716]
[3.45252776 3.45252776]
[4.43896437 5.05548716]
[3.45252776 3.45252776]
[3.82244134 4.68557358]
[3.45252776 3.45252776]
[3.82244134 4.68557358]
[3.45252776 3.45252776]
[3.45252776 4.19235516]
[3.45252776 3.45252776]
[3.45252776 4.19235516]
[3.45252776 3.45252776]
[3.45252776 4.19235516]
