<generator object TPPO.save_probs.<locals>.<genexpr> at 0x00000149A9D869D0>
[ 4.31565952 12.4537611 ]
[23.55117226  6.4118371 ]
[ 4.31565952 12.4537611 ]
[23.55117226  6.4118371 ]
[ 3.94574594 15.28976536]
[23.55117226  6.4118371 ]
[ 3.94574594 15.28976536]
[23.55117226  6.4118371 ]
[ 3.82244134 10.85080147]
[9.86436462 5.91861916]
[ 3.82244134 15.04315662]
[15.16646099  6.16522789]
[ 4.56226873 11.34401989]
[15.16646099  6.16522789]
[ 4.56226873 11.34401989]
[11.0974102   5.17879152]
[ 4.56226873 11.34401989]
[11.0974102   5.17879152]
[4.19235516 9.12453747]
[11.0974102   5.17879152]
[4.19235516 9.12453747]
[9.0012331  4.56226873]
[4.19235516 9.12453747]
[9.0012331  4.56226873]
[4.19235516 7.52157831]
[9.0012331  4.56226873]
[4.19235516 7.52157831]
[9.0012331  4.56226873]
[4.19235516 7.52157831]
[9.0012331  4.56226873]
[4.43896437 6.28853273]
[7.52157831 4.56226873]
[4.56226873 5.5487051 ]
[6.65844631 4.68557358]
[4.56226873 5.5487051 ]
[6.65844631 4.68557358]
[4.56226873 5.5487051 ]
[6.65844631 4.68557358]
[5.42540073 4.80887794]
[ 4.68557358 10.97410583]
[5.42540073 4.80887794]
[ 4.68557358 11.22071552]
[5.42540073 4.80887794]
[ 4.68557358 11.22071552]
[7.15166473 4.68557358]
[ 4.68557358 11.22071552]
[7.15166473 4.68557358]
[4.68557358 8.26140594]
[7.15166473 4.68557358]
[4.68557358 8.26140594]
[5.5487051  4.68557358]
[3.45252776 6.65844631]
[3.08261395 4.56226873]
[3.69913697 4.43896437]
[4.31565952 4.56226873]
[3.45252776 4.80887794]
[4.31565952 5.17879152]
