<generator object TPPO.save_probs.<locals>.<genexpr> at 0x00000149A9D869D0>
[19.72872925 14.30332947]
[12.20715141 28.7299633 ]
[15.16646099 17.50924873]
[26.01726341  5.5487051 ]
[17.26263809 12.20715141]
[12.20715141 28.7299633 ]
[13.68680668 16.02959251]
[20.71516609  6.16522789]
[13.68680668 16.02959251]
[20.71516609  6.16522789]
[13.68680668 16.02959251]
[20.71516609  6.16522789]
[13.68680668 16.02959251]
[20.71516609  6.16522789]
[13.68680668 16.02959251]
[20.71516609  6.16522789]
[12.20715141 21.57829857]
[18.12577057  5.91861916]
[12.20715141 21.57829857]
[18.12577057  5.91861916]
[12.20715141 21.57829857]
[15.65967941  6.90505552]
[12.20715141 21.57829857]
[15.65967941  6.90505552]
[12.20715141 21.57829857]
[15.65967941  6.90505552]
[12.20715141 21.57829857]
[13.19358826  8.50801468]
[ 9.86436462 17.87916183]
[13.19358826  8.50801468]
[ 9.86436462 17.87916183]
[11.83723831  8.01479626]
[ 9.86436462 17.87916183]
[8.63131905 4.93218231]
[8.26140594 5.42540073]
[ 7.02835989 10.23427868]
[8.26140594 5.42540073]
[ 7.02835989 10.23427868]
[7.89149189 8.63131905]
[7.52157831 3.57583237]
[7.89149189 8.63131905]
[7.52157831 3.57583237]
[7.89149189 8.63131905]
[7.52157831 3.57583237]
[7.89149189 8.63131905]
