<generator object TPPO.save_probs.<locals>.<genexpr> at 0x00000149A9F04040>
[ 4.68557358 15.28976536]
[36.12823486  5.5487051 ]
[ 4.68557358 15.28976536]
[36.12823486  5.5487051 ]
[ 4.06905079 17.87916183]
[36.12823486  5.5487051 ]
[ 4.06905079 17.87916183]
[36.12823486  5.5487051 ]
[ 4.31565952 11.83723831]
[15.16646099  4.68557358]
[ 4.43896437 10.48088741]
[19.48212051  4.31565952]
[5.67200994 9.24784184]
[19.48212051  4.31565952]
[5.67200994 9.24784184]
[13.44019699  4.43896437]
[5.67200994 9.24784184]
[13.44019699  4.43896437]
[5.67200994 8.13810158]
[13.44019699  4.43896437]
[5.67200994 8.13810158]
[10.60419273  4.80887794]
[5.67200994 8.13810158]
[10.60419273  4.80887794]
[5.91861916 7.52157831]
[10.60419273  4.80887794]
[5.91861916 7.52157831]
[10.60419273  4.80887794]
[5.91861916 7.52157831]
[10.60419273  4.80887794]
[5.67200994 6.53514194]
[8.38471031 4.93218231]
[6.28853273 5.79531431]
[4.80887794 7.2749691 ]
[6.28853273 5.79531431]
[4.80887794 7.2749691 ]
[6.53514194 6.4118371 ]
[4.68557358 9.49445152]
[6.53514194 6.4118371 ]
[4.68557358 9.49445152]
[7.89149189 5.79531431]
[4.68557358 9.49445152]
[7.89149189 5.79531431]
[4.68557358 9.49445152]
[7.89149189 5.79531431]
[4.68557358 9.49445152]
[7.89149189 5.79531431]
[4.68557358 9.49445152]
[7.89149189 5.79531431]
[5.42540073 8.63131905]
[7.89149189 5.79531431]
[5.42540073 8.63131905]
[7.89149189 5.79531431]
[5.42540073 8.63131905]
[7.89149189 5.79531431]
[5.42540073 8.63131905]
[7.89149189 5.79531431]
[5.42540073 8.63131905]
[7.89149189 5.79531431]
[5.42540073 8.63131905]
[7.89149189 5.79531431]
[5.42540073 8.63131905]
[7.89149189 5.79531431]
[5.42540073 8.63131905]
[7.89149189 5.79531431]
[5.42540073 8.63131905]
[7.89149189 5.79531431]
[5.42540073 8.63131905]
[9.12453747 5.17879152]
[5.42540073 8.63131905]
[9.12453747 5.17879152]
[5.42540073 8.63131905]
[9.12453747 5.17879152]
[5.42540073 8.63131905]
[9.12453747 5.17879152]
[5.5487051  7.76818752]
[8.38471031 5.30209637]
[4.80887794 7.39827394]
[8.38471031 5.30209637]
[4.80887794 7.39827394]
[6.90505552 5.42540073]
[5.30209637 6.28853273]
[6.65844631 5.05548716]
[5.30209637 6.28853273]
[6.65844631 5.05548716]
[5.30209637 6.28853273]
[6.65844631 5.05548716]
[5.79531431 6.04192352]
[6.65844631 5.05548716]
[5.79531431 6.04192352]
[5.17879152 5.05548716]
[4.93218231 5.91861916]
[5.17879152 5.05548716]
[4.80887794 5.5487051 ]
[5.17879152 5.05548716]
[4.80887794 5.5487051 ]
[5.17879152 5.05548716]
[4.56226873 5.17879152]
[5.17879152 5.05548716]
[4.56226873 5.17879152]
[5.17879152 5.05548716]
[4.56226873 5.17879152]
[5.17879152 5.05548716]
