<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000028D83BFBC30>
[24.84848404 24.3342514 ]
[23.6730938  24.77502251]
[24.48117447 24.44444466]
[23.34251595 24.73829269]
[24.48117447 24.44444466]
[23.34251595 24.73829269]
[24.26078987 24.37098312]
[24.70156097 24.62809944]
[24.26078987 24.37098312]
[24.70156097 24.62809944]
[24.26078987 24.37098312]
[24.70156097 24.62809944]
[23.96694183 24.26078987]
[24.55463791 24.51790619]
[23.96694183 24.26078987]
[24.55463791 24.51790619]
[23.96694183 24.26078987]
[24.55463791 24.51790619]
[23.52617073 24.18732834]
[23.8934803  24.18732834]
[24.22405815 23.93021202]
[24.04040337 24.26078987]
[24.95867729 24.1138649 ]
[23.70982552 24.37098312]
[24.95867729 24.1138649 ]
[24.04040337 24.62809944]
[24.95867729 24.1138649 ]
[23.52617073 24.81175423]
[24.3342514  24.26078987]
[23.52617073 24.81175423]
[24.3342514  24.26078987]
[23.52617073 24.81175423]
[24.3342514  24.26078987]
[23.52617073 24.81175423]
[24.3342514  24.26078987]
[23.23232269 24.81175423]
[24.29751968 24.40771294]
[24.18732834 23.08539963]
[24.29751968 24.40771294]
[24.18732834 23.08539963]
[24.15059662 23.96694183]
[23.78328705 24.22405815]
[23.8934803  23.85674858]
[23.23232269 24.07713509]
[24.00367355 24.29751968]
[24.37098312 23.70982552]
[23.8934803  23.85674858]
[23.23232269 24.07713509]
[23.82001877 24.15059662]
[24.37098312 23.70982552]
[24.04040337 23.59963226]
[23.23232269 24.07713509]
[23.82001877 24.15059662]
[24.59136772 23.93021202]
[23.48944092 24.18732834]
[24.59136772 23.93021202]
[23.78328705 23.4527092 ]
[22.97520638 23.6730938 ]
[23.48944092 24.18732834]
[24.59136772 23.93021202]
[23.34251595 24.1138649 ]
[24.18732834 23.96694183]
[23.23232269 24.22405815]
[24.3342514  23.78328705]
[23.23232269 24.22405815]
[24.3342514  23.78328705]
[23.23232269 24.22405815]
[24.3342514  23.78328705]
[23.23232269 24.37098312]
[24.40771294 24.07713509]
[23.23232269 24.37098312]
[24.40771294 24.07713509]
[23.23232269 24.37098312]
[24.40771294 24.07713509]
[23.23232269 24.37098312]
[24.40771294 24.07713509]
[22.71809006 24.1138649 ]
[24.04040337 24.1138649 ]
[24.26078987 22.93847656]
[23.8934803  23.96694183]
[24.26078987 22.93847656]
[23.8934803  23.96694183]
[23.93021202 23.15886116]
[23.41597748 24.18732834]
[23.93021202 23.15886116]
[23.48944092 23.4527092 ]
[22.68135834 23.04866791]
[23.41597748 24.18732834]
[23.93021202 23.15886116]
[23.19559288 24.1138649 ]
[23.70982552 23.30578613]
[23.19559288 24.1138649 ]
[23.70982552 23.30578613]
[23.19559288 24.1138649 ]
[23.70982552 23.30578613]
[23.19559288 24.1138649 ]
[23.70982552 23.30578613]
[23.19559288 24.1138649 ]
[23.70982552 23.30578613]
[23.15886116 24.18732834]
[23.78328705 23.41597748]
[23.15886116 24.18732834]
[23.78328705 23.41597748]
[23.15886116 24.18732834]
[23.59963226 23.15886116]
[22.82828331 24.00367355]
[23.23232269 23.23232269]
[22.38751221 23.82001877]
[23.23232269 23.23232269]
[22.38751221 23.82001877]
[22.90174484 23.70982552]
[23.37924767 23.4527092 ]
[23.96694183 22.27731895]
[23.59963226 22.93847656]
[23.0119381  23.85674858]
[23.59963226 22.93847656]
[22.82828331 23.82001877]
[23.34251595 23.12213135]
[22.82828331 23.82001877]
[23.34251595 23.12213135]
[22.82828331 23.82001877]
[23.34251595 23.12213135]
[22.82828331 23.82001877]
[23.34251595 23.12213135]
[22.82828331 23.82001877]
[23.34251595 23.12213135]
[22.82828331 24.00367355]
[23.59963226 23.15886116]
[22.82828331 24.00367355]
[23.59963226 23.15886116]
[22.82828331 24.00367355]
[23.59963226 23.15886116]
[22.82828331 24.00367355]
[23.23232269 23.23232269]
[22.38751221 23.82001877]
[23.23232269 23.23232269]
[22.38751221 23.82001877]
[23.0119381  23.12213135]
[23.59963226 22.93847656]
[22.64462852 23.23232269]
[23.59963226 22.93847656]
[22.64462852 23.23232269]
[23.59963226 22.93847656]
[22.49770355 23.30578613]
[23.34251595 23.12213135]
[22.49770355 23.30578613]
[23.34251595 23.12213135]
[22.49770355 23.30578613]
[23.34251595 23.12213135]
[22.13039398 22.09366417]
[21.9467392  22.27731895]
[22.20385742 22.31404877]
[22.38751221 22.57116699]
[22.90174484 22.31404877]
[22.31404877 21.9467392 ]
[21.87327766 22.09366417]
[22.35078049 22.49770355]
[22.75482178 22.6078968 ]
[22.38751221 21.91000938]
[21.87327766 22.09366417]
[22.1671257  22.49770355]
[22.35078049 22.64462852]
[23.0119381  21.83654785]
[21.9467392  22.24058723]
[23.0119381  21.83654785]
[21.9467392  22.24058723]
[22.75482178 21.61616135]
[21.68962288 21.98347092]
[22.75482178 21.61616135]
[21.46923828 21.57943153]
[22.68135834 21.50596809]
[22.13039398 21.7263546 ]
[21.9467392  21.43250656]
[21.54269981 21.57943153]
[21.68962288 21.39577675]
[21.35904503 21.50596809]
[21.91000938 21.57943153]
[21.68962288 21.76308441]
[22.09366417 21.9467392 ]
[21.79981613 21.87327766]
[22.13039398 22.09366417]
[21.79981613 21.87327766]
[22.20385742 22.31404877]
