<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000028D83BFBC30>
[25.91368294 25.69329643]
[24.1138649  25.03213882]
[25.54637337 25.43618011]
[24.04040337 24.70156097]
[25.54637337 25.43618011]
[24.04040337 24.70156097]
[25.28925705 25.10560226]
[24.04040337 24.70156097]
[24.66482925 24.66482925]
[23.56290245 24.48117447]
[24.66482925 24.66482925]
[23.56290245 24.48117447]
[24.26078987 24.48117447]
[24.66482925 25.1790638 ]
[25.36271858 24.55463791]
[24.51790619 24.99540901]
[25.36271858 24.55463791]
[24.55463791 24.92194748]
[25.21579361 25.03213882]
[24.84848404 24.88521576]
[25.28925705 24.95867729]
[24.73829269 24.70156097]
[24.26078987 24.44444466]
[24.73829269 24.70156097]
[24.26078987 24.44444466]
[24.55463791 24.59136772]
[24.77502251 25.03213882]
[25.14233208 24.1138649 ]
[24.59136772 24.84848404]
[25.21579361 24.07713509]
[24.84848404 24.66482925]
[24.66482925 24.48117447]
[24.07713509 24.48117447]
[24.48117447 24.29751968]
[24.07713509 24.48117447]
[24.1138649  24.00367355]
[23.78328705 24.04040337]
[24.1138649  24.00367355]
[23.78328705 24.04040337]
[24.1138649  24.00367355]
[23.78328705 24.04040337]
