<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000028D83BFBC30>
[24.3342514  24.26078987]
[23.34251595 24.55463791]
[23.70982552 23.48944092]
[23.04866791 24.22405815]
[23.70982552 23.48944092]
[23.04866791 24.22405815]
[23.56290245 23.37924767]
[23.04866791 24.22405815]
[23.12213135 23.08539963]
[22.64462852 23.85674858]
[23.12213135 23.08539963]
[22.64462852 23.85674858]
[22.93847656 23.19559288]
[22.79155159 22.97520638]
[22.90174484 22.53443527]
[22.53443527 22.71809006]
[22.90174484 22.53443527]
[22.49770355 22.64462852]
[22.93847656 22.57116699]
[22.86501312 22.82828331]
[22.49770355 23.08539963]
[22.79155159 22.64462852]
[22.49770355 23.08539963]
[22.79155159 22.64462852]
[22.49770355 23.08539963]
[22.71809006 22.68135834]
[22.6078968  23.41597748]
[22.27731895 22.57116699]
[22.24058723 22.02020264]
[22.27731895 22.57116699]
[22.38751221 22.1671257 ]
[21.9467392  22.57116699]
[22.38751221 22.13039398]
[21.98347092 22.53443527]
[22.20385742 22.24058723]
[21.87327766 21.91000938]
[22.13039398 21.9467392 ]
[22.05693245 22.05693245]
[21.9467392  22.35078049]
[22.02020264 22.20385742]
[21.9467392  21.76308441]
[21.83654785 22.05693245]
[21.68962288 21.68962288]
[21.76308441 22.13039398]
[21.9467392  21.91000938]
[21.76308441 22.13039398]
[21.9467392  21.98347092]
[21.76308441 21.35904503]
[21.76308441 22.13039398]
[21.98347092 21.50596809]
[21.76308441 22.13039398]
[21.98347092 21.57943153]
