<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000028D83BFBC30>
[24.29751968 24.3342514 ]
[24.04040337 23.6730938 ]
[24.29751968 24.3342514 ]
[24.04040337 23.6730938 ]
[24.29751968 24.3342514 ]
[24.04040337 23.6730938 ]
[24.88521576 24.44444466]
[24.3342514  24.40771294]
[24.29751968 24.3342514 ]
[24.04040337 23.6730938 ]
[24.29751968 24.3342514 ]
[24.04040337 23.6730938 ]
[24.00367355 24.3342514 ]
[24.22405815 23.6730938 ]
[24.44444466 24.66482925]
[24.22405815 23.6730938 ]
[24.44444466 24.66482925]
[24.22405815 23.6730938 ]
[24.44444466 24.66482925]
[24.51790619 23.41597748]
[24.44444466 24.66482925]
[24.51790619 23.41597748]
[24.44444466 24.66482925]
[24.51790619 23.41597748]
[24.77502251 24.81175423]
[24.51790619 23.41597748]
[24.77502251 24.81175423]
[24.51790619 23.41597748]
[24.77502251 24.81175423]
[24.51790619 23.41597748]
[24.77502251 24.81175423]
[24.51790619 23.41597748]
[24.29751968 24.55463791]
[24.55463791 22.97520638]
[24.29751968 24.55463791]
[24.55463791 22.97520638]
[24.29751968 24.55463791]
[24.55463791 22.97520638]
[24.29751968 24.55463791]
[24.70156097 23.12213135]
[24.29751968 24.55463791]
[24.70156097 23.12213135]
[24.29751968 24.55463791]
[24.70156097 23.12213135]
[24.29751968 24.55463791]
[24.70156097 23.12213135]
[24.29751968 24.55463791]
[24.70156097 23.12213135]
[24.29751968 24.55463791]
[24.70156097 23.12213135]
[24.29751968 24.55463791]
[24.70156097 23.12213135]
[24.29751968 24.55463791]
[24.70156097 23.12213135]
[24.29751968 24.55463791]
[24.55463791 22.97520638]
[24.29751968 24.55463791]
[24.55463791 22.97520638]
[24.29751968 24.55463791]
[24.55463791 22.97520638]
[24.29751968 24.55463791]
[24.55463791 22.97520638]
[24.29751968 24.55463791]
[24.55463791 22.97520638]
[24.29751968 24.55463791]
[24.55463791 22.97520638]
[24.29751968 24.55463791]
[24.55463791 22.97520638]
[24.1138649  24.37098312]
[24.84848404 22.86501312]
[23.82001877 24.26078987]
[24.84848404 22.86501312]
[23.82001877 24.26078987]
[24.84848404 22.86501312]
[23.78328705 24.00367355]
[24.22405815 23.04866791]
[23.78328705 24.00367355]
[23.59963226 23.41597748]
[23.78328705 24.00367355]
[23.59963226 23.41597748]
[23.15886116 23.59963226]
[23.59963226 23.41597748]
[23.15886116 23.59963226]
[23.59963226 23.41597748]
[23.15886116 23.59963226]
[23.59963226 23.41597748]
[23.15886116 23.59963226]
[23.59963226 23.41597748]
[23.15886116 23.59963226]
[23.59963226 23.41597748]
[23.15886116 23.59963226]
[22.27731895 22.93847656]
[22.82828331 22.09366417]
[23.15886116 23.48944092]
[23.70982552 22.31404877]
[23.15886116 23.48944092]
[23.70982552 22.31404877]
[23.82001877 23.08539963]
[23.34251595 23.63636398]
[23.15886116 23.48944092]
[23.70982552 22.31404877]
[23.63636398 22.97520638]
[23.34251595 23.63636398]
[22.93847656 23.34251595]
[23.70982552 22.31404877]
[23.63636398 22.97520638]
[23.34251595 23.63636398]
[22.93847656 23.34251595]
[23.74655724 22.49770355]
[22.93847656 23.34251595]
[23.74655724 22.49770355]
[23.26905441 23.37924767]
[23.93021202 22.27731895]
[23.6730938  23.56290245]
[23.59963226 23.78328705]
[22.53443527 23.59963226]
[23.74655724 22.49770355]
[23.12213135 23.96694183]
[24.07713509 22.35078049]
[23.48944092 24.1138649 ]
[24.07713509 22.35078049]
[23.82001877 23.48944092]
[23.0119381  23.78328705]
[23.12213135 23.96694183]
[24.07713509 22.35078049]
[23.12213135 23.96694183]
[24.07713509 22.35078049]
[23.96694183 24.84848404]
[24.00367355 22.38751221]
[24.26078987 23.96694183]
[23.23232269 23.82001877]
[23.63636398 24.70156097]
[24.07713509 22.35078049]
