<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000028D83BFBA00>
[24.29751968 23.4527092 ]
[23.12213135 23.70982552]
[23.78328705 23.37924767]
[22.79155159 23.48944092]
[23.78328705 23.37924767]
[22.79155159 23.48944092]
[23.85674858 23.37924767]
[22.79155159 23.48944092]
[23.4527092  22.86501312]
[22.53443527 22.93847656]
[23.4527092  22.86501312]
[22.53443527 22.93847656]
[23.26905441 22.64462852]
[22.53443527 22.93847656]
[22.97520638 22.64462852]
[22.46097374 23.04866791]
[22.6078968  21.83654785]
[22.24058723 22.27731895]
[22.42424202 21.79981613]
[22.24058723 22.27731895]
[22.42424202 21.79981613]
[22.24058723 22.27731895]
[22.38751221 21.9467392 ]
[22.24058723 22.27731895]
