<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000028D83BFBA00>
[23.59963226 23.96694183]
[24.40771294 24.59136772]
[24.26078987 24.22405815]
[24.18732834 24.29751968]
[24.07713509 23.74655724]
[24.07713509 24.37098312]
[23.93021202 23.85674858]
[24.1138649 24.3342514]
[23.52617073 23.52617073]
[23.74655724 23.93021202]
[23.52617073 23.52617073]
[23.0119381  23.41597748]
[23.08539963 23.59963226]
[23.0119381  23.56290245]
[23.19559288 23.70982552]
[22.79155159 23.37924767]
[22.79155159 23.37924767]
