<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000028D83BFBAE0>
[23.8934803  25.25252533]
[24.48117447 25.06887054]
[24.59136772 24.62809944]
[24.29751968 24.15059662]
[23.82001877 23.93021202]
[23.4527092 23.0119381]
[23.56290245 23.15886116]
[23.96694183 23.93021202]
[24.40771294 24.37098312]
[23.78328705 24.95867729]
[24.37098312 24.26078987]
[23.78328705 24.95867729]
[24.70156097 24.29751968]
[24.18732834 24.95867729]
[24.70156097 24.29751968]
[24.18732834 24.95867729]
[24.70156097 24.29751968]
[24.18732834 24.95867729]
[24.48117447 24.15059662]
[24.26078987 25.14233208]
[24.48117447 24.15059662]
[24.26078987 25.14233208]
[24.48117447 24.15059662]
[24.26078987 25.14233208]
[24.15059662 24.22405815]
[23.70982552 23.37924767]
[24.15059662 24.22405815]
[23.70982552 23.37924767]
[23.63636398 23.48944092]
[24.15059662 24.22405815]
[23.56290245 23.15886116]
[24.18732834 24.18732834]
[23.59963226 24.88521576]
[24.48117447 24.00367355]
[23.59963226 24.88521576]
[24.15059662 23.78328705]
[23.6730938  24.99540901]
[24.59136772 24.1138649 ]
[24.51790619 25.6198349 ]
[24.22405815 24.07713509]
[24.73829269 25.28925705]
[24.22405815 24.07713509]
[24.81175423 25.03213882]
[24.18732834 23.63636398]
[24.84848404 24.95867729]
[24.48117447 23.96694183]
[26.13406754 25.54637337]
[25.21579361 26.24426079]
[25.84022141 25.21579361]
[25.21579361 26.24426079]
[25.36271858 25.06887054]
[25.43618011 25.95041275]
[25.14233208 24.59136772]
[25.84022141 25.76675797]
[25.39944839 26.46464539]
[26.86868668 25.98714447]
[26.02387619 27.08907318]
[26.64830017 25.76675797]
[26.20753098 27.19926453]
[26.64830017 25.76675797]
[26.35445404 26.83195496]
[26.17079926 25.69329643]
[25.76675797 25.95041275]
[25.06887054 24.92194748]
[25.76675797 25.84022141]
[24.70156097 24.73829269]
[24.77502251 24.70156097]
[24.70156097 24.73829269]
[25.32598686 25.39944839]
[25.14233208 25.03213882]
[25.32598686 25.39944839]
