<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000028D83BFBAE0>
[23.34251595 24.37098312]
[23.52617073 24.15059662]
[23.56290245 23.26905441]
[23.96694183 23.8934803 ]
[23.70982552 24.55463791]
[23.96694183 23.8934803 ]
[24.00367355 24.73829269]
[24.73829269 23.82001877]
[24.1138649  24.55463791]
[24.59136772 23.48944092]
[24.1138649  24.55463791]
[24.59136772 23.48944092]
[23.8934803  24.40771294]
[24.3342514  23.34251595]
[24.37098312 24.44444466]
[24.3342514  23.34251595]
[24.37098312 24.44444466]
[24.18732834 22.93847656]
[24.37098312 24.44444466]
[24.18732834 22.93847656]
[24.40771294 24.00367355]
[23.56290245 24.51790619]
[24.48117447 24.15059662]
[23.85674858 24.81175423]
[24.73829269 24.04040337]
[23.63636398 24.59136772]
[24.73829269 24.04040337]
[23.63636398 24.59136772]
[24.73829269 24.04040337]
[23.63636398 24.59136772]
[24.73829269 24.04040337]
[23.63636398 24.59136772]
[25.06887054 24.26078987]
[23.63636398 24.59136772]
[25.06887054 24.26078987]
[23.78328705 24.62809944]
[24.99540901 23.85674858]
[24.00367355 24.70156097]
[24.99540901 23.85674858]
[24.00367355 24.70156097]
[24.99540901 23.85674858]
[24.00367355 24.70156097]
[24.99540901 23.85674858]
[24.00367355 24.70156097]
[24.99540901 23.85674858]
[24.00367355 24.70156097]
[24.99540901 23.85674858]
[24.00367355 24.70156097]
[24.84848404 23.85674858]
[23.8934803  24.70156097]
[24.84848404 23.85674858]
[23.8934803  24.70156097]
[24.84848404 23.85674858]
[23.8934803  24.70156097]
[24.84848404 23.85674858]
[23.8934803  24.70156097]
[24.84848404 23.85674858]
[23.8934803  24.70156097]
[24.84848404 23.85674858]
[23.8934803  24.70156097]
[24.84848404 23.85674858]
[23.82001877 24.62809944]
[24.84848404 23.85674858]
[23.82001877 24.62809944]
[24.73829269 23.48944092]
[23.78328705 24.55463791]
[24.73829269 23.41597748]
[23.78328705 24.55463791]
[24.73829269 23.41597748]
[23.78328705 24.55463791]
[24.73829269 23.41597748]
[23.78328705 24.55463791]
[24.73829269 23.41597748]
[24.18732834 24.22405815]
[24.44444466 22.82828331]
[24.18732834 24.22405815]
[24.22405815 22.75482178]
[24.18732834 23.85674858]
[23.6730938  24.55463791]
[24.3342514  23.93021202]
[24.07713509 24.88521576]
[24.44444466 23.70982552]
[24.07713509 24.88521576]
[24.40771294 23.74655724]
[23.78328705 24.51790619]
[24.40771294 23.74655724]
[23.78328705 24.51790619]
[24.40771294 23.74655724]
[23.78328705 24.51790619]
[24.66482925 23.23232269]
[24.44444466 24.51790619]
[24.88521576 23.30578613]
[24.44444466 24.51790619]
[24.88521576 23.30578613]
[24.44444466 24.51790619]
[24.88521576 23.30578613]
[24.44444466 24.51790619]
[24.73829269 23.30578613]
[24.44444466 24.51790619]
[24.73829269 23.30578613]
[24.44444466 24.51790619]
[24.62809944 23.04866791]
[24.62809944 24.44444466]
[23.59963226 24.51790619]
[24.62809944 24.44444466]
[23.59963226 24.51790619]
[24.81175423 24.51790619]
[24.1138649  24.62809944]
[24.51790619 24.51790619]
[23.93021202 24.55463791]
[23.93021202 24.26078987]
[24.29751968 23.37924767]
[24.22405815 24.3342514 ]
[24.62809944 23.26905441]
[24.51790619 24.51790619]
[23.93021202 24.55463791]
[23.93021202 24.26078987]
[24.29751968 23.37924767]
[24.22405815 24.3342514 ]
[24.81175423 23.30578613]
[24.92194748 24.62809944]
[24.26078987 24.73829269]
[24.40771294 24.40771294]
[23.63636398 24.07713509]
[23.93021202 24.22405815]
[24.22405815 23.52617073]
[24.15059662 24.29751968]
[24.55463791 23.41597748]
[24.40771294 24.40771294]
[23.19559288 24.15059662]
[23.93021202 24.22405815]
[24.22405815 23.52617073]
[24.15059662 24.29751968]
[24.22405815 23.52617073]
[24.15059662 24.29751968]
[24.55463791 23.41597748]
[24.40771294 24.40771294]
[23.19559288 24.15059662]
[23.93021202 24.22405815]
[24.22405815 23.52617073]
[24.15059662 24.29751968]
[24.22405815 23.52617073]
[24.15059662 24.29751968]
[24.55463791 23.41597748]
[23.93021202 24.59136772]
[24.55463791 23.41597748]
[24.07713509 24.70156097]
[24.55463791 23.41597748]
[24.07713509 24.70156097]
[24.81175423 23.30578613]
[24.51790619 24.99540901]
[24.81175423 23.30578613]
[24.51790619 24.99540901]
[24.95867729 23.34251595]
[24.88521576 24.88521576]
[23.78328705 24.73829269]
[24.15059662 24.29751968]
[24.55463791 23.41597748]
[24.07713509 24.70156097]
[24.55463791 23.41597748]
[24.07713509 24.70156097]
[24.81175423 23.30578613]
[24.51790619 24.99540901]
[24.81175423 23.30578613]
[24.51790619 24.99540901]
[24.95867729 23.34251595]
[24.88521576 24.88521576]
[23.78328705 24.73829269]
[24.15059662 24.29751968]
[24.55463791 23.41597748]
[24.07713509 24.70156097]
[24.81175423 23.30578613]
[24.07713509 24.70156097]
[24.81175423 23.30578613]
[24.51790619 24.99540901]
[24.81175423 23.30578613]
[24.51790619 24.99540901]
[24.95867729 23.34251595]
[25.25252533 24.59136772]
[23.78328705 24.73829269]
[24.40771294 24.40771294]
[23.19559288 24.15059662]
[23.93021202 24.22405815]
[24.22405815 23.52617073]
[23.74655724 24.48117447]
[24.29751968 23.8934803 ]
[23.93021202 24.59136772]
[24.29751968 23.8934803 ]
[23.93021202 24.59136772]
[24.55463791 23.74655724]
[23.93021202 24.59136772]
[24.55463791 23.74655724]
[23.93021202 24.59136772]
[24.55463791 23.74655724]
[24.07713509 24.70156097]
[24.55463791 23.74655724]
[24.37098312 24.55463791]
[24.40771294 23.59963226]
[24.37098312 24.55463791]
[24.77502251 23.30578613]
[24.37098312 24.55463791]
[24.77502251 23.30578613]
[24.37098312 24.55463791]
[25.03213882 23.30578613]
[24.37098312 24.55463791]
[25.03213882 23.30578613]
[24.37098312 24.55463791]
[25.03213882 23.30578613]
[24.81175423 24.73829269]
[23.82001877 24.40771294]
[23.96694183 24.22405815]
