<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000028D83BFBAE0>
[24.18732834 24.1138649 ]
[23.04866791 24.1138649 ]
[23.85674858 24.26078987]
[23.52617073 24.37098312]
[24.22405815 24.3342514 ]
[23.82001877 23.82001877]
[23.82001877 23.78328705]
[24.07713509 23.15886116]
[24.3342514 23.4527092]
[23.70982552 23.56290245]
[23.93021202 23.41597748]
[23.34251595 23.34251595]
[22.97520638 23.52617073]
[22.79155159 23.41597748]
[22.49770355 23.48944092]
[22.1671257  23.56290245]
[23.04866791 23.78328705]
[23.19559288 24.04040337]
[23.34251595 24.3342514 ]
[22.93847656 23.85674858]
[22.46097374 23.37924767]
[22.90174484 23.41597748]
[22.97520638 23.15886116]
[23.08539963 22.97520638]
[22.68135834 22.24058723]
[22.09366417 22.02020264]
[22.09366417 22.02020264]
[21.87327766 21.98347092]
[21.9467392  21.91000938]
[21.9467392  22.09366417]
[21.9467392  21.91000938]
[21.9467392  22.09366417]
