<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000028D83BFBB50>
[23.34251595 25.03213882]
[24.51790619 25.32598686]
[24.44444466 24.3342514 ]
[24.55463791 24.95867729]
[24.44444466 23.59963226]
[24.92194748 24.40771294]
[24.07713509 24.99540901]
[24.92194748 24.22405815]
[24.07713509 24.99540901]
[24.92194748 24.22405815]
[24.15059662 24.92194748]
[24.81175423 23.82001877]
[24.15059662 24.92194748]
[24.81175423 23.82001877]
[24.15059662 24.37098312]
[24.22405815 23.37924767]
[23.93021202 24.37098312]
[24.22405815 23.37924767]
[23.93021202 24.37098312]
[24.1138649  23.23232269]
[23.85674858 24.29751968]
[24.1138649  23.23232269]
[23.48944092 23.82001877]
[23.37924767 22.82828331]
[23.56290245 23.63636398]
[23.37924767 22.82828331]
[23.6730938  23.37924767]
[24.04040337 24.44444466]
[23.6730938  23.37924767]
[23.85674858 24.07713509]
[23.4527092  23.08539963]
[22.82828331 23.34251595]
[22.71809006 22.71809006]
[22.93847656 23.08539963]
[22.71809006 22.71809006]
[22.93847656 23.19559288]
[22.71809006 22.71809006]
[23.0119381  22.82828331]
[22.97520638 23.41597748]
[22.42424202 22.46097374]
[22.53443527 22.68135834]
[22.46097374 22.64462852]
[22.46097374 22.53443527]
