<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000028D83BFBB50>
[23.6730938  25.76675797]
[25.69329643 25.95041275]
[25.39944839 24.92194748]
[25.80348969 25.39944839]
[24.37098312 25.14233208]
[25.80348969 25.39944839]
[24.62809944 25.87695122]
[25.95041275 25.87695122]
[24.62809944 25.69329643]
[25.91368294 25.32598686]
[24.62809944 25.69329643]
[25.91368294 25.32598686]
[24.81175423 25.1790638 ]
[25.76675797 25.10560226]
[24.73829269 25.10560226]
[25.76675797 25.10560226]
[24.73829269 25.10560226]
[25.73002815 24.55463791]
[24.73829269 25.10560226]
[25.73002815 24.55463791]
[24.66482925 24.73829269]
[25.14233208 24.1138649 ]
[24.66482925 24.73829269]
[25.14233208 24.1138649 ]
[24.95867729 25.21579361]
[25.43618011 24.3342514 ]
[24.95867729 25.21579361]
[24.84848404 23.78328705]
[24.40771294 24.44444466]
[24.84848404 23.78328705]
[24.40771294 24.44444466]
[24.84848404 23.78328705]
[24.55463791 24.22405815]
[24.04040337 24.84848404]
[24.44444466 23.78328705]
[23.30578613 23.96694183]
[23.63636398 23.37924767]
[23.15886116 23.74655724]
[23.48944092 23.15886116]
[23.26905441 23.78328705]
[23.48944092 23.15886116]
[23.56290245 23.78328705]
[23.48944092 23.15886116]
[23.30578613 23.34251595]
[23.48944092 23.15886116]
[23.19559288 23.12213135]
[23.04866791 23.56290245]
[23.19559288 23.12213135]
[22.79155159 23.19559288]
[22.82828331 22.82828331]
[22.38751221 22.90174484]
