<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x00000217E8B7B990>
[26.23927116 26.99034309]
[26.57725334 26.53969955]
[26.38948441 27.2532196 ]
[26.76502228 26.84012794]
[26.53969955 26.46459198]
[26.84012794 26.61480713]
[26.61480713 27.10300446]
[26.84012794 26.61480713]
[26.57725334 27.17811203]
[26.57725334 26.46459198]
[26.57725334 27.17811203]
[26.57725334 26.46459198]
[26.57725334 27.17811203]
[26.27682495 26.16416359]
[26.31437683 26.80257416]
[26.27682495 26.16416359]
[26.31437683 26.80257416]
[26.27682495 26.16416359]
[26.31437683 26.80257416]
[26.27682495 26.16416359]
[26.31437683 26.80257416]
[26.27682495 26.16416359]
[26.31437683 26.80257416]
[26.27682495 26.16416359]
[26.08905602 26.50214577]
[25.93884087 25.75107384]
[26.01394844 26.31437683]
[25.93884087 25.75107384]
[26.01394844 26.31437683]
[25.93884087 25.75107384]
[25.97639465 26.38948441]
[25.78862572 25.67596626]
[25.97639465 26.38948441]
[25.78862572 25.67596626]
[25.8261795  25.90128708]
[25.78862572 25.67596626]
[25.8261795  25.90128708]
[25.78862572 25.67596626]
[25.8261795  25.90128708]
[25.78862572 25.67596626]
[25.8261795  25.90128708]
[25.78862572 25.67596626]
[25.8261795  25.90128708]
[25.78862572 25.67596626]
