<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x00000217E8B7BA00>
[28.41738129 27.96673775]
[27.55364799 27.74141693]
[28.26716805 27.70386314]
[27.55364799 27.74141693]
[28.26716805 27.70386314]
[27.55364799 27.74141693]
[27.85407639 27.74141693]
[27.06545067 27.55364799]
[27.85407639 27.74141693]
[27.06545067 27.55364799]
[27.85407639 27.74141693]
[27.06545067 27.55364799]
[27.85407639 27.74141693]
[27.06545067 27.55364799]
[27.62875557 27.55364799]
[27.06545067 27.55364799]
[27.62875557 27.55364799]
[27.06545067 27.55364799]
[27.62875557 27.55364799]
[27.06545067 27.55364799]
[27.55364799 27.29077148]
[27.10300446 26.95278931]
[27.10300446 26.95278931]
