<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002B53AC97B50>
[31.00858307 31.53433418]
[31.38412094 30.67060089]
[31.08369064 31.64699554]
[31.34656715 30.97103119]
[31.08369064 31.64699554]
[31.34656715 30.97103119]
[31.08369064 31.64699554]
[31.34656715 30.97103119]
[31.53433418 31.45922852]
[30.52038574 31.12124443]
[31.08369064 31.64699554]
[31.34656715 30.97103119]
[31.08369064 31.64699554]
[31.34656715 30.97103119]
[31.08369064 31.64699554]
[31.34656715 30.97103119]
[31.08369064 31.64699554]
[31.34656715 30.97103119]
[31.08369064 31.64699554]
[31.34656715 30.97103119]
[31.53433418 31.45922852]
[30.52038574 31.12124443]
[31.08369064 31.64699554]
[31.34656715 30.97103119]
[31.08369064 31.64699554]
[31.34656715 30.97103119]
[31.08369064 31.64699554]
[31.34656715 30.97103119]
[31.08369064 31.64699554]
[31.34656715 30.97103119]
[31.08369064 31.64699554]
[31.34656715 30.97103119]
[31.08369064 31.64699554]
[31.34656715 30.97103119]
[31.08369064 31.64699554]
[31.34656715 30.97103119]
[31.08369064 31.64699554]
[31.34656715 30.97103119]
[31.08369064 31.64699554]
[31.34656715 30.97103119]
[30.82081604 31.27145958]
[31.19635201 31.15879822]
[30.82081604 31.27145958]
[31.19635201 31.15879822]
[30.82081604 31.27145958]
[31.19635201 31.15879822]
[30.21995735 30.89592361]
[31.19635201 31.15879822]
[30.21995735 30.89592361]
[30.6330471  31.12124443]
[31.60944176 30.67060089]
[30.6330471  31.12124443]
[31.57188797 30.74570847]
[30.6330471  31.12124443]
[31.57188797 30.74570847]
[30.6330471  31.12124443]
[31.57188797 30.74570847]
[30.6330471  31.12124443]
[31.57188797 30.74570847]
[31.15879822 30.44527817]
[30.55793953 31.27145958]
[30.6330471  31.12124443]
[31.57188797 30.74570847]
[31.15879822 30.44527817]
[30.55793953 31.27145958]
[30.6330471  31.12124443]
[31.57188797 30.74570847]
[31.15879822 30.44527817]
[30.55793953 31.27145958]
[30.6330471  31.12124443]
[31.57188797 30.74570847]
[30.6330471  31.12124443]
[31.57188797 30.74570847]
[31.15879822 30.44527817]
[30.55793953 31.27145958]
[30.6330471  31.12124443]
[31.57188797 30.74570847]
[31.15879822 30.44527817]
[30.21995735 30.89592361]
[30.6330471  31.12124443]
[31.57188797 30.74570847]
[30.59549332 30.67060089]
[31.57188797 30.74570847]
[30.78326225 30.6330471 ]
[30.21995735 30.89592361]
[30.59549332 30.67060089]
[31.19635201 31.15879822]
[30.59549332 30.67060089]
[31.19635201 31.15879822]
[30.59549332 30.67060089]
[31.19635201 31.15879822]
[30.78326225 30.6330471 ]
[30.21995735 30.89592361]
[30.59549332 30.67060089]
[31.19635201 31.15879822]
[30.59549332 30.67060089]
[31.19635201 31.15879822]
[30.59549332 30.67060089]
[31.19635201 31.15879822]
[30.59549332 30.67060089]
[31.19635201 31.15879822]
[30.78326225 30.6330471 ]
[30.21995735 30.89592361]
[30.59549332 30.67060089]
[31.19635201 31.15879822]
[30.59549332 30.67060089]
[31.19635201 31.15879822]
[30.59549332 30.67060089]
[31.19635201 31.15879822]
[30.59549332 30.67060089]
[31.19635201 31.15879822]
[30.59549332 30.67060089]
[31.19635201 31.15879822]
[30.59549332 30.67060089]
[31.19635201 31.15879822]
[30.59549332 30.67060089]
[31.19635201 31.15879822]
[30.59549332 30.67060089]
[31.19635201 31.15879822]
[30.59549332 30.67060089]
[31.19635201 31.15879822]
[30.59549332 30.67060089]
[31.19635201 31.15879822]
[30.59549332 30.67060089]
[31.19635201 31.15879822]
[30.59549332 30.67060089]
[31.19635201 31.15879822]
[30.59549332 30.67060089]
[31.19635201 31.15879822]
[30.59549332 30.67060089]
[31.19635201 31.15879822]
[30.14484978 30.14484978]
[30.21995735 30.89592361]
[30.14484978 30.14484978]
[29.76931381 30.25751114]
[29.8068676  30.10729599]
[30.14484978 30.85836792]
[31.08369064 31.15879822]
[31.08369064 31.15879822]
[31.08369064 31.15879822]
[31.45922852 31.19635201]
[31.30901337 30.89592361]
[31.75965691 31.23390579]
[31.68454933 31.38412094]
[31.4967804  30.82081604]
[30.85836792 30.78326225]
[30.93347549 31.12124443]
[30.6330471  30.52038574]
[30.74570847 30.93347549]
[30.70815468 30.40772629]
[30.6330471  30.52038574]
[30.55793953 29.99463463]
[30.10729599 29.8068676 ]
[30.14484978 29.8068676 ]
[30.14484978 29.8068676 ]
[30.14484978 29.8068676 ]
