<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002B53AC97990>
[29.2435627  29.43133163]
[29.54399109 29.28111649]
[28.86802673 29.39377594]
[29.43133163 29.39377594]
[28.86802673 29.39377594]
[29.43133163 29.39377594]
[28.86802673 29.39377594]
[29.43133163 29.39377594]
[29.05579376 29.20600891]
[29.43133163 29.39377594]
[29.05579376 29.20600891]
[29.16845512 29.05579376]
[29.05579376 29.20600891]
[29.16845512 29.05579376]
[29.05579376 29.20600891]
[29.16845512 29.05579376]
[29.05579376 29.20600891]
[29.16845512 29.05579376]
[28.75536537 29.09334755]
[28.60515022 28.60515022]
[28.75536537 29.09334755]
[28.60515022 28.60515022]
[28.75536537 29.09334755]
[28.60515022 28.60515022]
[28.75536537 29.09334755]
[28.75536537 28.53004265]
[28.79291916 28.98068619]
[28.75536537 28.53004265]
[28.79291916 28.98068619]
[28.75536537 28.53004265]
[28.79291916 28.98068619]
[28.75536537 28.53004265]
[28.79291916 28.98068619]
[28.75536537 28.53004265]
[28.83047104 28.90557861]
[29.01823997 28.3798275 ]
[28.41738129 28.75536537]
[28.60515022 28.34227371]
[28.49248886 28.34227371]
[28.30472183 29.01823997]
[28.49248886 28.34227371]
[28.30472183 29.01823997]
[28.49248886 28.34227371]
[28.60515022 29.09334755]
[28.49248886 28.34227371]
[28.60515022 29.09334755]
[28.49248886 28.34227371]
[28.41738129 28.75536537]
[28.60515022 28.22961426]
[28.41738129 28.75536537]
[28.41738129 28.34227371]
[28.26716805 28.79291916]
[28.41738129 28.34227371]
[28.3798275  28.45493507]
[28.41738129 28.34227371]
[28.3798275  28.45493507]
[28.41738129 28.34227371]
[28.3798275  28.45493507]
[28.41738129 28.34227371]
[28.41738129 28.34227371]
[28.07939911 28.6802578 ]
[28.41738129 28.34227371]
[28.34227371 28.41738129]
[28.41738129 28.34227371]
[28.34227371 28.41738129]
[28.41738129 28.34227371]
[28.19206047 28.30472183]
[28.41738129 28.34227371]
[28.19206047 28.30472183]
[28.41738129 28.34227371]
[28.19206047 28.30472183]
