<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002B53AC97990>
[30.67060089 30.59549332]
[29.95708084 30.6330471 ]
[30.48283195 30.52038574]
[30.70815468 30.44527817]
[30.48283195 30.52038574]
[30.70815468 30.44527817]
[30.48283195 30.52038574]
[30.70815468 30.44527817]
[30.48283195 30.52038574]
[30.70815468 30.44527817]
[30.48283195 30.52038574]
[30.70815468 30.44527817]
[30.48283195 30.52038574]
[30.70815468 30.44527817]
[30.48283195 30.52038574]
[30.70815468 30.44527817]
[30.48283195 30.52038574]
[30.70815468 30.44527817]
[30.48283195 30.52038574]
[30.70815468 30.44527817]
[30.48283195 30.52038574]
[30.70815468 30.44527817]
[30.48283195 30.52038574]
[30.70815468 30.44527817]
[30.48283195 30.52038574]
[30.70815468 30.44527817]
[30.48283195 30.52038574]
[30.70815468 30.44527817]
[30.48283195 30.52038574]
[30.70815468 30.44527817]
[30.48283195 30.52038574]
[30.70815468 30.44527817]
[30.48283195 30.52038574]
[30.70815468 30.44527817]
[30.25751114 30.70815468]
[30.25751114 30.67060089]
[29.88197327 30.37017059]
[30.10729599 30.21995735]
[30.10729599 30.21995735]
[29.61909866 29.99463463]
[29.61909866 29.99463463]
[28.86802673 29.65665245]
[28.86802673 29.65665245]
[28.86802673 29.65665245]
