<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002B53AC97990>
[29.65665245 30.0697422 ]
[29.54399109 29.8068676 ]
[29.13090134 29.5064373 ]
[29.13090134 28.98068619]
[29.01823997 28.22961426]
[29.84442139 28.90557861]
[29.58154488 29.58154488]
[29.05579376 30.37017059]
[29.65665245 29.28111649]
[29.05579376 30.37017059]
[29.65665245 29.28111649]
[29.05579376 30.37017059]
[29.65665245 29.28111649]
[29.05579376 30.37017059]
[29.5064373  29.95708084]
[29.58154488 29.39377594]
[29.5064373  29.95708084]
[29.58154488 29.39377594]
[29.65665245 29.28111649]
[29.05579376 30.37017059]
[29.5064373  29.95708084]
[29.58154488 29.39377594]
[29.65665245 29.28111649]
[29.05579376 30.37017059]
[29.5064373  29.95708084]
[29.65665245 28.6802578 ]
[29.65665245 29.28111649]
[29.05579376 30.37017059]
[29.65665245 29.28111649]
[29.05579376 30.37017059]
[29.5064373  29.95708084]
[29.58154488 29.39377594]
[29.65665245 29.28111649]
[29.05579376 30.37017059]
[29.5064373  29.95708084]
[29.65665245 28.6802578 ]
[29.65665245 29.28111649]
[29.05579376 30.37017059]
[29.8068676  29.01823997]
[29.05579376 30.37017059]
[29.69420624 29.73176003]
[29.65665245 28.6802578 ]
[29.8068676  29.01823997]
[29.28111649 30.25751114]
[29.8068676  29.01823997]
[29.28111649 30.25751114]
[29.8068676  29.01823997]
[29.28111649 30.25751114]
[29.69420624 29.73176003]
[29.65665245 28.6802578 ]
[29.8068676  29.01823997]
[29.28111649 30.25751114]
[29.8068676  29.01823997]
[29.28111649 30.25751114]
[29.8068676  29.01823997]
[29.28111649 30.25751114]
[29.8068676  29.01823997]
[29.28111649 30.25751114]
[29.8068676  29.01823997]
[29.28111649 30.25751114]
[29.8068676  29.01823997]
[29.28111649 30.25751114]
[29.8068676  29.01823997]
[29.28111649 30.25751114]
[29.8068676  29.01823997]
[29.28111649 30.25751114]
[29.8068676  29.01823997]
[29.58154488 29.58154488]
[29.05579376 30.37017059]
[29.35622406 29.88197327]
[29.69420624 29.73176003]
[29.58154488 29.39377594]
[29.8068676  29.01823997]
[29.58154488 29.58154488]
[29.05579376 30.37017059]
[29.35622406 29.88197327]
[29.69420624 29.73176003]
[29.58154488 29.39377594]
[29.8068676  29.01823997]
[29.58154488 29.58154488]
[29.05579376 30.37017059]
[29.58154488 29.58154488]
[28.41738129 30.18240356]
[29.35622406 29.88197327]
[29.69420624 29.73176003]
[29.58154488 29.39377594]
[29.8068676  29.01823997]
[29.58154488 29.58154488]
[29.05579376 30.37017059]
[29.35622406 29.88197327]
[29.69420624 29.73176003]
[29.65665245 28.6802578 ]
[29.8068676  29.01823997]
[29.58154488 29.58154488]
[29.05579376 30.37017059]
[29.2435627  29.58154488]
[28.98068619 29.35622406]
[29.28111649 29.28111649]
[28.98068619 29.35622406]
[29.28111649 29.28111649]
[29.2435627 28.6802578]
[28.86802673 28.6802578 ]
[28.79291916 29.58154488]
[29.09334755 29.61909866]
[28.98068619 29.35622406]
[28.41738129 28.71781158]
[28.04184532 28.41738129]
[28.1169529  27.81652451]
[28.1169529  27.81652451]
[28.60515022 28.07939911]
[28.41738129 28.19206047]
[28.98068619 28.41738129]
[28.83047104 29.01823997]
[28.41738129 28.19206047]
[29.05579376 28.60515022]
[28.9431324  29.35622406]
[29.05579376 28.60515022]
[28.45493507 29.65665245]
[28.49248886 28.86802673]
[28.19206047 28.83047104]
[28.19206047 28.83047104]
