<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002B53AC97990>
[31.34656715 31.34656715]
[30.37017059 31.27145958]
[31.34656715 31.4967804 ]
[31.27145958 30.6330471 ]
[31.34656715 31.4967804 ]
[31.27145958 30.6330471 ]
[31.34656715 31.4967804 ]
[31.27145958 30.6330471 ]
[31.34656715 31.4967804 ]
[31.27145958 30.6330471 ]
[31.34656715 31.4967804 ]
[31.27145958 30.6330471 ]
[31.34656715 31.4967804 ]
[31.27145958 30.6330471 ]
[31.34656715 31.4967804 ]
[31.27145958 30.6330471 ]
[31.34656715 31.4967804 ]
[31.27145958 30.6330471 ]
[31.34656715 31.4967804 ]
[31.27145958 30.6330471 ]
[31.34656715 31.4967804 ]
[31.27145958 30.6330471 ]
[31.34656715 31.4967804 ]
[31.27145958 30.6330471 ]
[31.34656715 31.4967804 ]
[31.27145958 30.6330471 ]
[31.34656715 31.4967804 ]
[31.27145958 30.6330471 ]
[31.34656715 31.4967804 ]
[31.27145958 30.6330471 ]
[31.34656715 31.4967804 ]
[31.27145958 30.6330471 ]
[31.34656715 31.4967804 ]
[31.27145958 30.6330471 ]
[30.59549332 31.19635201]
[31.04613686 30.74570847]
[30.59549332 31.19635201]
[31.04613686 30.74570847]
[30.44527817 30.67060089]
[30.82081604 30.29506493]
[30.18240356 30.10729599]
[29.88197327 30.0697422 ]
[30.18240356 30.10729599]
[29.88197327 30.0697422 ]
[30.18240356 30.10729599]
[29.88197327 30.0697422 ]
[30.25751114 30.55793953]
[30.82081604 30.33261871]
[30.18240356 30.10729599]
[29.88197327 30.0697422 ]
[30.25751114 30.55793953]
[30.18240356 29.88197327]
[30.18240356 30.10729599]
[29.88197327 30.0697422 ]
[30.25751114 30.55793953]
[30.18240356 29.88197327]
