<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002B53AC97A00>
[31.00858307 30.78326225]
[29.88197327 31.15879822]
[30.89592361 30.70815468]
[29.88197327 31.15879822]
[30.89592361 30.70815468]
[29.88197327 31.15879822]
[30.03218842 30.25751114]
[30.59549332 30.48283195]
[30.03218842 30.25751114]
[30.59549332 30.48283195]
[30.03218842 30.25751114]
[30.59549332 30.48283195]
[30.03218842 30.25751114]
[30.59549332 30.48283195]
[30.03218842 30.25751114]
[30.59549332 30.48283195]
[29.46888351 29.99463463]
[30.0697422  30.18240356]
[30.10729599 29.84442139]
[30.0697422  30.18240356]
[30.59549332 30.0697422 ]
[30.97103119 30.10729599]
[30.03218842 30.48283195]
[30.0697422  30.18240356]
[30.59549332 30.0697422 ]
[30.67060089 29.8068676 ]
[30.03218842 30.48283195]
[29.88197327 29.88197327]
[29.46888351 29.99463463]
[29.88197327 29.88197327]
[29.46888351 29.99463463]
[29.88197327 29.88197327]
[29.46888351 29.99463463]
[29.88197327 29.88197327]
[29.46888351 29.99463463]
[29.43133163 29.28111649]
[29.09334755 29.69420624]
[29.05579376 29.31866837]
[29.58154488 29.88197327]
[29.5064373  29.84442139]
[29.84442139 29.54399109]
[29.5064373  29.84442139]
[29.84442139 29.54399109]
[29.5064373  29.84442139]
[29.84442139 29.54399109]
[28.86802673 29.43133163]
[29.84442139 29.54399109]
[28.86802673 29.43133163]
[29.84442139 29.54399109]
[28.79291916 29.28111649]
[29.5064373  29.84442139]
[29.84442139 29.54399109]
[29.5064373  29.84442139]
[29.84442139 29.54399109]
[29.5064373  29.84442139]
[29.84442139 29.54399109]
[29.5064373  29.84442139]
[30.44527817 29.35622406]
[29.31866837 29.54399109]
[30.44527817 29.35622406]
[29.31866837 29.54399109]
[30.44527817 29.35622406]
[29.31866837 29.54399109]
[30.44527817 29.35622406]
[29.31866837 29.54399109]
[30.44527817 29.35622406]
[29.46888351 29.43133163]
[29.20600891 29.31866837]
[29.31866837 29.54399109]
[30.44527817 29.35622406]
[29.46888351 29.43133163]
[29.76931381 29.09334755]
[29.88197327 29.13090134]
[29.88197327 29.13090134]
[29.76931381 29.65665245]
[29.28111649 29.39377594]
[29.2435627  29.43133163]
[29.31866837 28.98068619]
[29.2435627  29.43133163]
[29.31866837 28.98068619]
