<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002B53AC97A00>
[31.4967804  31.72210312]
[31.64699554 30.52038574]
[31.64699554 31.4967804 ]
[30.78326225 31.19635201]
[31.64699554 31.4967804 ]
[30.78326225 31.19635201]
[31.64699554 31.4967804 ]
[30.78326225 31.19635201]
[30.78326225 30.74570847]
[30.44527817 30.59549332]
[30.78326225 30.74570847]
[30.44527817 30.59549332]
[30.78326225 30.74570847]
[30.44527817 30.59549332]
[30.78326225 30.74570847]
[30.44527817 30.59549332]
[30.44527817 30.29506493]
[30.44527817 30.59549332]
[30.44527817 30.29506493]
[30.44527817 30.59549332]
[30.44527817 30.29506493]
[30.44527817 30.59549332]
[30.44527817 30.29506493]
[30.44527817 30.59549332]
[30.21995735 29.88197327]
[30.29506493 30.33261871]
