tm1,tm2,steps
3,10,70
10,7,87
11,12,110
8,3,121
9,7,137
7,8,152
13,17,182
12,11,205
12,6,223
8,4,235
19,15,269
6,7,282
7,10,299
5,10,314
17,25,356
11,9,376
8,10,394
19,26,439
33,35,507
10,17,534
15,10,559
16,13,588
7,6,601
11,5,617
27,24,668
11,16,695
15,15,725
13,15,753
24,20,797
15,16,828
9,7,844
4,7,855
9,5,869
17,14,900
10,6,916
18,20,954
6,4,964
4,9,977
6,12,995
19,17,1031
12,3,1046
2,8,1056
15,19,1090
2,9,1101
8,6,1115
11,3,1129
13,12,1154
7,9,1170
11,13,1194
25,26,1245
8,3,1256
8,13,1277
9,4,1290
17,10,1317
15,11,1343
1,9,1353
13,13,1379
3,11,1393
22,24,1439
1,8,1448
10,4,1462
10,4,1476
7,9,1492
17,19,1528
8,5,1541
13,11,1565
11,9,1585
4,9,1598
8,7,1613
11,5,1629
27,22,1678
10,4,1692
16,15,1723
16,10,1749
10,10,1769
18,21,1808
9,14,1831
15,19,1865
12,5,1882
12,6,1900
5,11,1916
9,10,1935
6,12,1953
5,9,1967
7,5,1979
10,8,1997
13,7,2017
12,5,2034
3,9,2046
20,16,2082
6,13,2101
8,12,2121
13,13,2147
12,11,2170
9,11,2190
11,11,2212
4,8,2224
4,9,2237
8,10,2255
9,13,2277
12,7,2296
11,16,2323
13,7,2343
13,6,2362
8,2,2372
8,9,2389
11,3,2403
4,10,2417
21,22,2460
10,13,2483
5,10,2498
15,10,2523
5,9,2537
7,10,2554
26,22,2602
13,11,2626
13,6,2645
4,10,2659
9,4,2672
12,16,2700
7,12,2719
15,10,2744
8,3,2755
3,10,2768
10,5,2783
17,19,2819
16,19,2854
8,5,2867
25,26,2918
5,11,2934
44,34,3012
7,4,3023
2,8,3033
7,13,3053
4,8,3065
8,4,3077
7,2,3086
11,9,3106
19,16,3141
12,17,3170
8,3,3181
4,11,3196
8,5,3209
33,39,3281
8,9,3298
8,6,3312
2,10,3324
8,4,3336
20,20,3376
6,11,3393
15,15,3423
10,7,3440
12,7,3459
10,14,3483
15,13,3511
13,13,3537
8,2,3547
8,12,3567
14,16,3597
9,1,3607
8,10,3625
5,8,3638
7,9,3654
16,16,3686
12,10,3708
7,6,3721
18,21,3760
4,11,3775
9,6,3790
19,24,3833
10,8,3851
5,10,3866
3,8,3877
13,12,3902
2,8,3912
14,16,3942
27,29,3998
10,10,4018
18,18,4054
8,8,4070
9,9,4088
17,14,4119
18,17,4154
23,22,4199
10,12,4221
4,9,4234
8,9,4251
12,12,4275
10,9,4294
7,7,4308
8,8,4324
7,6,4337
8,9,4354
10,8,4372
7,12,4391
9,4,4404
10,5,4419
7,9,4435
11,19,4465
9,3,4477
16,11,4504
12,3,4519
17,13,4549
10,3,4562
11,4,4577
10,4,4591
13,16,4620
9,8,4637
1,9,4647
7,15,4669
9,3,4681
9,5,4695
3,8,4706
5,7,4718
7,7,4732
5,14,4751
14,9,4774
11,15,4800
9,5,4814
11,6,4831
8,3,4842
15,14,4871
11,8,4890
3,10,4903
10,4,4917
6,10,4933
10,11,4954
11,13,4978
23,27,5028
10,6,5044
10,9,5063
13,14,5090
11,11,5112
20,18,5150
19,20,5189
8,9,5206
2,9,5217
11,14,5242
22,21,5285
7,5,5297
49,48,5394
14,6,5414
9,11,5434
16,13,5463
11,13,5487
10,11,5508
9,8,5525
5,6,5536
9,7,5552
14,12,5578
12,8,5598
8,10,5616
5,8,5629
8,4,5641
4,8,5653
20,16,5689
9,14,5712
8,11,5731
12,8,5751
21,18,5790
6,13,5809
9,14,5832
4,9,5845
13,7,5865
15,10,5890
13,20,5923
8,2,5933
5,11,5949
5,13,5967
8,13,5988
9,1,5998
9,2,6009
8,11,6028
7,9,6044
6,3,6053
1,9,6063
8,13,6084
7,9,6100
8,11,6119
12,8,6139
7,9,6155
2,8,6165
9,10,6184
12,14,6210
19,18,6247
11,11,6269
19,14,6302
11,12,6325
10,12,6347
19,16,6382
15,11,6408
18,18,6444
4,9,6457
15,8,6480
15,14,6509
10,12,6531
12,13,6556
9,13,6578
14,12,6604
16,12,6632
19,16,6667
6,8,6681
16,19,6716
8,11,6735
13,14,6762
10,11,6783
7,9,6799
26,23,6848
5,9,6862
8,7,6877
12,9,6898
32,27,6957
6,3,6966
14,13,6993
11,9,7013
5,12,7030
10,11,7051
7,6,7064
15,16,7095
11,8,7114
10,16,7140
9,5,7154
9,4,7167
8,9,7184
6,8,7198
16,21,7235
19,16,7270
8,3,7281
7,12,7300
8,9,7317
1,9,7327
4,8,7339
13,5,7357
22,13,7392
2,10,7404
7,6,7417
5,9,7431
3,8,7442
6,13,7461
10,10,7481
1,8,7490
15,9,7514
10,3,7527
8,8,7543
10,6,7559
3,9,7571
4,7,7582
9,13,7604
11,15,7630
10,17,7657
5,10,7672
4,9,7685
6,9,7700
20,25,7745
25,21,7791
7,15,7813
2,9,7824
19,18,7861
15,10,7886
14,16,7916
6,12,7934
1,8,7943
11,10,7964
2,7,7973
12,12,7997
7,5,8009
26,19,8054
24,32,8110
15,10,8135
25,24,8184
4,9,8197
8,12,8217
40,30,8287
35,45,8367
15,14,8396
26,23,8445
23,27,8495
12,8,8515
10,13,8538
7,7,8552
11,15,8578
20,20,8618
38,36,8692
18,17,8727
33,32,8792
5,11,8808
9,4,8821
12,15,8848
5,10,8863
16,16,8895
12,11,8918
4,7,8929
5,12,8946
11,10,8967
34,42,9043
10,17,9070
23,25,9118
3,10,9131
5,12,9148
10,11,9169
12,11,9192
11,9,9212
5,11,9228
6,10,9244
7,2,9253
1,8,9262
1,9,9272
10,3,9285
3,11,9299
10,10,9319
11,5,9335
20,21,9376
19,14,9409
6,12,9427
7,11,9445
4,7,9456
4,11,9471
1,10,9482
3,13,9498
7,9,9514
2,9,9525
4,8,9537
4,11,9552
9,9,9570
5,9,9584
5,7,9596
10,12,9618
8,13,9639
8,9,9656
1,8,9665
11,14,9690
19,15,9724
2,10,9736
9,2,9747
13,15,9775
16,15,9806
13,9,9828
8,10,9846
10,10,9866
25,22,9913
25,23,9961
8,5,9974
18,12,10004
3,9,10016
33,33,10082
19,18,10119
7,9,10135
19,21,10175
13,16,10204
32,32,10268
8,7,10283
9,11,10303
22,20,10345
59,46,10450
6,13,10469
31,33,10533
16,14,10563
7,12,10582
14,11,10607
12,6,10625
9,5,10639
6,10,10655
10,5,10670
9,2,10681
1,9,10691
3,9,10703
9,12,10724
4,9,10737
5,12,10754
8,16,10778
3,11,10792
6,10,10808
3,8,10819
2,9,10830
3,9,10842
3,9,10854
10,2,10866
9,16,10891
2,9,10902
7,16,10925
3,8,10936
13,16,10965
3,10,10978
3,9,10990
3,6,10999
14,13,11026
10,4,11040
10,10,11060
16,15,11091
4,9,11104
17,19,11140
22,22,11184
5,7,11196
7,13,11216
22,23,11261
14,19,11294
18,14,11326
17,17,11360
24,19,11403
10,12,11425
16,16,11457
5,7,11469
36,25,11530
11,9,11550
18,17,11585
15,14,11614
19,22,11655
7,2,11664
37,35,11736
22,20,11778
9,9,11796
19,19,11834
15,16,11865
21,19,11905
14,12,11931
28,28,11987
14,15,12016
27,32,12075
5,8,12088
24,23,12135
14,14,12163
20,18,12201
3,11,12215
10,8,12233
18,16,12267
7,14,12288
14,12,12314
0,9,12323
6,7,12336
10,8,12354
3,9,12366
5,9,12380
7,11,12398
3,8,12409
8,4,12421
8,13,12442
8,6,12456
3,9,12468
3,9,12480
5,12,12497
4,9,12510
3,9,12522
15,9,12546
4,9,12559
16,10,12585
7,10,12602
13,8,12623
6,15,12644
14,8,12666
5,12,12683
8,12,12703
10,10,12723
9,11,12743
17,19,12779
17,11,12807
9,10,12826
11,4,12841
3,11,12855
6,12,12873
16,8,12897
3,7,12907
20,20,12947
15,15,12977
10,13,13000
7,10,13017
19,18,13054
14,15,13083
16,16,13115
20,22,13157
27,27,13211
31,29,13271
12,13,13296
40,39,13375
20,22,13417
16,10,13443
13,13,13469
53,54,13576
9,6,13591
21,20,13632
25,25,13682
62,54,13798
9,9,13816
10,13,13839
7,9,13855
16,16,13887
12,11,13910
24,22,13956
22,26,14004
18,17,14039
6,8,14053
10,9,14072
18,18,14108
16,22,14146
7,14,14167
5,13,14185
12,6,14203
12,21,14236
16,11,14263
2,9,14274
11,18,14303
11,16,14330
11,10,14351
