tm1,tm2,steps
26,30,95
15,18,128
10,10,148
25,33,206
8,11,225
7,4,236
3,9,248
3,8,259
10,7,276
7,3,286
8,8,302
11,20,333
12,10,355
10,13,378
12,15,405
16,15,436
3,10,449
9,11,469
11,6,486
8,9,503
7,2,512
9,5,526
8,5,539
12,8,559
15,12,586
16,11,613
20,25,658
15,9,682
12,9,703
8,2,713
6,12,731
25,18,774
17,14,805
9,5,819
34,40,893
8,3,904
7,5,916
13,18,947
21,26,994
6,12,1012
17,16,1045
11,6,1062
4,9,1075
15,15,1105
9,10,1124
21,30,1175
11,11,1197
5,8,1210
19,23,1252
9,4,1265
7,10,1282
6,11,1299
16,12,1327
8,9,1344
2,9,1355
13,13,1381
12,14,1407
4,13,1424
12,20,1456
11,12,1479
7,13,1499
22,16,1537
9,4,1550
23,26,1599
16,10,1625
13,10,1648
9,13,1670
13,20,1703
16,23,1742
11,9,1762
5,9,1776
7,2,1785
6,8,1799
10,1,1810
9,3,1822
14,12,1848
11,7,1866
9,11,1886
5,10,1901
17,12,1930
10,11,1951
12,6,1969
11,11,1991
3,8,2002
8,11,2021
6,7,2034
5,11,2050
13,16,2079
16,21,2116
9,9,2134
7,13,2154
6,9,2169
19,17,2205
10,12,2227
8,5,2240
19,16,2275
20,21,2316
14,18,2348
11,7,2366
12,4,2382
7,3,2392
32,28,2452
13,8,2473
8,10,2491
12,10,2513
5,11,2529
16,13,2558
18,12,2588
7,9,2604
8,13,2625
8,4,2637
13,13,2663
10,5,2678
6,7,2691
27,27,2745
7,5,2757
22,24,2803
12,12,2827
3,9,2839
3,10,2852
9,7,2868
9,18,2895
4,12,2911
11,4,2926
9,13,2948
24,27,2999
11,13,3023
6,7,3036
3,10,3049
28,28,3105
8,15,3128
26,36,3190
5,12,3207
8,6,3221
14,5,3240
13,10,3263
2,10,3275
18,18,3311
10,12,3333
2,7,3342
4,14,3360
7,12,3379
8,3,3390
11,8,3409
13,10,3432
10,5,3447
12,5,3464
12,9,3485
22,19,3526
20,21,3567
4,8,3579
10,6,3595
16,27,3638
17,17,3672
11,13,3696
15,18,3729
10,4,3743
13,13,3769
9,8,3786
12,13,3811
15,13,3839
9,13,3861
13,13,3887
1,8,3896
10,4,3910
49,35,3994
9,3,4006
5,13,4024
22,16,4062
4,9,4075
12,15,4102
5,9,4116
12,8,4136
8,13,4157
9,10,4176
9,10,4195
46,37,4278
72,70,4420
8,8,4436
5,7,4448
8,10,4466
6,9,4481
11,14,4506
20,17,4543
6,11,4560
22,22,4604
10,15,4629
12,9,4650
4,7,4661
3,9,4673
9,7,4689
13,20,4722
16,11,4749
5,10,4764
3,8,4775
6,11,4792
16,15,4823
13,8,4844
9,10,4863
8,1,4872
52,55,4979
8,4,4991
12,13,5016
31,38,5085
14,12,5111
19,19,5149
31,27,5207
10,10,5227
19,16,5262
11,13,5286
13,7,5306
12,4,5322
22,29,5373
9,2,5384
5,10,5399
5,10,5414
6,8,5428
10,7,5445
12,5,5462
4,10,5476
5,11,5492
23,22,5537
33,22,5592
16,16,5624
9,8,5641
4,8,5653
22,21,5696
9,15,5720
26,27,5773
23,24,5820
4,8,5832
1,11,5844
29,24,5897
38,28,5963
10,11,5984
10,10,6004
21,17,6042
15,14,6071
2,10,6083
7,12,6102
2,8,6112
24,21,6157
3,9,6169
15,15,6199
5,9,6213
9,3,6225
16,18,6259
15,13,6287
8,14,6309
13,8,6330
11,4,6345
8,2,6355
19,24,6398
19,18,6435
6,11,6452
5,11,6468
6,13,6487
5,11,6503
2,9,6514
7,4,6525
20,20,6565
10,17,6592
0,8,6600
14,14,6628
5,10,6643
10,8,6661
13,14,6688
8,9,6705
24,24,6753
7,12,6772
18,14,6804
10,6,6820
4,8,6832
6,9,6847
20,19,6886
10,10,6906
28,34,6968
10,11,6989
6,3,6998
8,7,7013
12,7,7032
8,9,7049
4,7,7060
13,13,7086
7,2,7095
5,14,7114
10,7,7131
10,4,7145
3,9,7157
13,16,7186
18,17,7221
11,4,7236
26,20,7282
9,13,7304
3,8,7315
22,14,7351
9,16,7376
8,12,7396
13,19,7428
11,5,7444
13,11,7468
14,13,7495
17,14,7526
11,5,7542
32,30,7604
14,15,7633
7,10,7650
16,9,7675
9,8,7692
12,14,7718
44,46,7808
27,14,7849
3,9,7861
18,12,7891
4,7,7902
11,1,7914
13,12,7939
26,23,7988
9,5,8002
13,15,8030
11,5,8046
11,15,8072
21,14,8107
8,8,8123
20,14,8157
21,16,8194
12,5,8211
19,9,8239
3,8,8250
26,23,8299
13,10,8322
24,25,8371
5,9,8385
4,10,8399
2,9,8410
17,16,8443
23,15,8481
23,16,8520
9,2,8531
10,11,8552
11,8,8571
18,19,8608
5,9,8622
16,11,8649
1,9,8659
2,9,8670
10,6,8686
10,12,8708
29,28,8765
7,10,8782
7,14,8803
11,7,8821
14,8,8843
11,5,8859
22,24,8905
5,12,8922
3,10,8935
13,7,8955
21,18,8994
19,20,9033
33,37,9103
10,11,9124
12,11,9147
4,9,9160
5,11,9176
9,11,9196
19,23,9238
23,26,9287
26,26,9339
40,39,9418
9,4,9431
8,11,9450
11,8,9469
17,11,9497
9,3,9509
12,14,9535
10,11,9556
16,24,9596
9,10,9615
16,16,9647
8,11,9666
1,8,9675
15,7,9697
14,21,9732
6,10,9748
18,17,9783
8,11,9802
10,13,9825
13,12,9850
6,9,9865
8,0,9873
14,9,9896
9,6,9911
8,3,9922
14,12,9948
5,7,9960
20,20,10000
9,5,10014
15,7,10036
15,14,10065
10,13,10088
8,4,10100
18,10,10128
34,26,10188
16,9,10213
11,3,10227
14,14,10255
21,20,10296
16,16,10328
11,11,10350
16,19,10385
14,6,10405
10,16,10431
3,10,10444
21,19,10484
1,9,10494
3,7,10504
9,11,10524
7,8,10539
14,14,10567
3,12,10582
17,16,10615
21,20,10656
7,10,10673
18,14,10705
8,0,10713
13,21,10747
5,13,10765
11,14,10790
8,3,10801
15,14,10830
40,40,10910
22,22,10954
7,13,10974
18,11,11003
10,6,11019
10,10,11039
12,15,11066
11,7,11084
8,2,11094
13,4,11111
8,2,11121
17,7,11145
13,7,11165
12,9,11186
10,17,11213
37,37,11287
15,9,11311
12,4,11327
2,8,11337
4,9,11350
8,3,11361
15,13,11389
30,30,11449
22,21,11492
9,13,11514
31,25,11570
9,14,11593
15,7,11615
15,8,11638
9,7,11654
19,16,11689
7,9,11705
3,9,11717
11,2,11730
3,8,11741
23,24,11788
10,11,11809
10,11,11830
9,12,11851
24,30,11905
10,12,11927
14,9,11950
24,21,11995
8,10,12013
14,14,12041
22,33,12096
25,26,12147
12,14,12173
24,33,12230
6,10,12246
8,14,12268
4,10,12282
6,10,12298
10,17,12325
17,21,12363
8,6,12377
12,13,12402
20,24,12446
2,10,12458
14,6,12478
18,17,12513
5,6,12524
21,16,12561
15,7,12583
11,10,12604
1,9,12614
2,7,12623
20,15,12658
6,11,12675
13,13,12701
18,17,12736
14,15,12765
11,7,12783
4,10,12797
4,7,12808
11,13,12832
8,7,12847
15,10,12872
8,1,12881
14,20,12915
7,6,12928
45,43,13016
8,5,13029
25,20,13074
8,15,13097
31,30,13158
2,9,13169
7,12,13188
13,18,13219
38,30,13287
3,6,13296
21,27,13344
7,2,13353
11,3,13367
15,17,13399
16,15,13430
38,48,13516
7,5,13528
3,7,13538
25,22,13585
6,12,13603
19,9,13631
21,20,13672
9,8,13689
13,19,13721
9,9,13739
12,10,13761
9,0,13770
21,16,13807
29,30,13866
14,14,13894
8,4,13906
5,7,13918
5,10,13933
16,17,13966
10,16,13992
25,25,14042
5,8,14055
9,13,14077
29,27,14133
11,13,14157
2,9,14168
9,3,14180
8,12,14200
3,11,14214
7,2,14223
32,31,14286
23,14,14323
11,1,14335
12,15,14362
33,27,14422
15,11,14448
11,5,14464
27,24,14515
2,8,14525
41,47,14613
18,19,14650
38,40,14728
16,16,14760
7,7,14774
40,44,14858
49,51,14958
14,11,14983
6,5,14994
6,11,15011
9,0,15020
21,17,15058
15,9,15082
15,16,15113
18,18,15149
0,8,15157
16,15,15188
9,4,15201
31,18,15250
2,9,15261
3,9,15273
10,11,15294
14,14,15322
32,42,15396
3,8,15407
5,12,15424
9,2,15435
5,8,15448
7,3,15458
17,15,15490
9,6,15505
9,10,15524
20,21,15565
13,14,15592
12,12,15616
20,14,15650
3,9,15662
7,8,15677
12,8,15697
8,3,15708
33,39,15780
10,8,15798
16,15,15829
12,9,15850
23,12,15885
19,8,15912
10,14,15936
15,13,15964
8,6,15978
10,6,15994
6,13,16013
36,33,16082
15,16,16113
11,13,16137
11,11,16159
28,18,16205
16,17,16238
21,26,16285
17,16,16318
17,16,16351
20,12,16383
42,36,16461
21,13,16495
19,23,16537
9,14,16560
12,6,16578
2,8,16588
5,13,16606
12,12,16630
8,5,16643
6,9,16658
1,10,16669
14,16,16699
7,12,16718
48,33,16799
17,16,16832
17,8,16857
5,9,16871
11,7,16889
23,30,16942
10,3,16955
24,25,17004
31,31,17066
39,33,17138
8,13,17159
10,12,17181
14,20,17215
12,7,17234
5,9,17248
33,36,17317
2,9,17328
9,19,17356
9,14,17379
12,15,17406
24,27,17457
33,34,17524
16,16,17556
15,10,17581
9,12,17602
12,5,17619
11,7,17637
4,12,17653
35,37,17725
13,13,17751
31,25,17807
12,16,17835
2,10,17847
30,27,17904
8,11,17923
16,19,17958
2,10,17970
12,18,18000
24,26,18050
16,16,18082
19,15,18116
9,17,18142
9,1,18152
13,6,18171
6,11,18188
25,38,18251
9,2,18262
4,13,18279
10,4,18293
2,11,18306
3,11,18320
26,22,18368
29,28,18425
13,11,18449
9,4,18462
24,23,18509
20,23,18552
8,3,18563
10,1,18574
32,28,18634
22,28,18684
11,17,18712
41,31,18784
10,15,18809
10,2,18821
22,11,18854
9,0,18863
17,9,18889
14,7,18910
22,25,18957
12,3,18972
14,14,19000
2,10,19012
22,22,19056
10,10,19076
8,3,19087
1,8,19096
15,6,19117
12,13,19142
32,34,19208
20,15,19243
44,44,19331
20,31,19382
5,7,19394
10,2,19406
10,2,19418
8,7,19433
23,25,19481
10,3,19494
8,2,19504
8,5,19517
14,22,19553
31,34,19618
10,8,19636
30,26,19692
8,5,19705
8,6,19719
11,9,19739
2,11,19752
8,3,19763
9,10,19782
34,40,19856
14,6,19876
13,14,19903
11,7,19921
30,30,19981
9,4,19994
15,13,20022
4,11,20037
36,24,20097
17,16,20130
21,24,20175
17,18,20210
35,33,20278
20,27,20325
9,1,20335
20,22,20377
11,6,20394
13,7,20414
77,73,20564
7,7,20578
15,20,20613
2,10,20625
28,21,20674
9,15,20698
8,8,20714
23,22,20759
5,8,20772
4,7,20783
9,4,20796
0,9,20805
10,14,20829
2,11,20842
27,27,20896
36,36,20968
28,27,21023
26,27,21076
10,5,21091
15,5,21111
7,13,21131
27,22,21180
68,58,21306
18,23,21347
29,26,21402
15,15,21432
4,13,21449
113,107,21669
6,14,21689
11,6,21706
5,12,21723
15,10,21748
5,14,21767
4,11,21782
8,3,21793
4,9,21806
3,10,21819
0,10,21829
13,15,21857
3,6,21866
20,17,21903
47,48,21998
13,13,22024
21,20,22065
46,37,22148
30,20,22198
13,8,22219
15,10,22244
10,9,22263
34,36,22333
2,11,22346
15,10,22371
25,21,22417
14,12,22443
25,16,22484
13,12,22509
34,39,22582
10,9,22601
13,9,22623
12,7,22642
7,6,22655
8,19,22682
10,0,22692
4,17,22713
6,11,22730
