tm1,tm2,steps
17,16,106
16,12,134
5,10,149
9,4,162
10,10,182
21,15,218
6,8,232
52,50,334
3,7,344
13,13,370
15,8,393
6,8,407
12,5,424
9,4,437
10,5,452
11,8,471
11,13,495
7,5,507
8,5,520
8,3,531
3,9,543
10,13,566
12,4,582
21,20,623
9,15,647
18,19,684
13,10,707
7,6,720
6,13,739
15,17,771
6,11,788
17,13,818
4,8,830
13,17,860
9,10,879
12,8,899
8,1,908
12,7,927
3,7,937
5,8,950
13,20,983
12,6,1001
16,10,1027
19,21,1067
11,13,1091
3,9,1103
7,5,1115
10,12,1137
5,7,1149
9,3,1161
10,3,1174
15,5,1194
9,17,1220
19,15,1254
6,11,1271
16,16,1303
10,5,1318
11,17,1346
8,2,1356
7,7,1370
5,7,1382
24,29,1435
16,13,1464
12,3,1479
4,8,1491
10,13,1514
14,15,1543
10,5,1558
16,14,1588
5,8,1601
11,4,1616
17,15,1648
11,21,1680
26,21,1727
2,9,1738
18,13,1769
8,11,1788
3,7,1798
22,27,1847
11,11,1869
9,5,1883
13,7,1903
11,13,1927
11,10,1948
8,3,1959
11,13,1983
4,9,1996
4,6,2006
13,10,2029
9,4,2042
8,5,2055
13,11,2079
12,4,2095
28,27,2150
5,11,2166
10,12,2188
3,9,2200
13,13,2226
24,14,2264
38,34,2336
37,33,2406
22,24,2452
12,10,2474
18,16,2508
8,3,2519
18,17,2554
10,16,2580
20,11,2611
10,20,2641
8,9,2658
16,16,2690
11,2,2703
6,9,2718
18,16,2752
12,7,2771
15,19,2805
47,42,2894
11,13,2918
16,15,2949
10,2,2961
17,9,2987
18,22,3027
6,13,3046
6,10,3062
16,9,3087
3,13,3103
11,4,3118
16,18,3152
7,12,3171
14,18,3203
17,16,3236
4,11,3251
14,11,3276
16,16,3308
11,10,3329
16,21,3366
7,12,3385
4,8,3397
12,18,3427
16,15,3458
13,24,3495
5,10,3510
12,4,3526
11,11,3548
20,14,3582
7,11,3600
9,6,3615
13,15,3643
10,13,3666
5,9,3680
12,14,3706
7,12,3725
10,2,3737
16,16,3769
23,24,3816
10,11,3837
11,16,3864
5,10,3879
13,19,3911
11,6,3928
7,4,3939
10,8,3957
14,10,3981
22,27,4030
10,9,4049
10,7,4066
8,8,4082
8,2,4092
9,10,4111
23,23,4157
19,17,4193
17,9,4219
23,26,4268
8,12,4288
9,15,4312
26,33,4371
6,9,4386
4,9,4399
6,7,4412
4,9,4425
14,11,4450
7,11,4468
7,7,4482
10,3,4495
9,10,4514
13,12,4539
36,31,4606
9,12,4627
15,13,4655
28,33,4716
11,13,4740
7,12,4759
9,6,4774
17,13,4804
3,9,4816
10,8,4834
12,4,4850
24,16,4890
4,9,4903
15,11,4929
2,9,4940
9,11,4960
4,9,4973
13,13,4999
13,11,5023
7,11,5041
8,2,5051
10,14,5075
13,6,5094
14,17,5125
22,28,5175
4,7,5186
11,9,5206
14,18,5238
14,10,5262
17,19,5298
7,3,5308
0,8,5316
9,8,5333
8,7,5348
20,25,5393
36,33,5462
7,8,5477
16,20,5513
8,8,5529
21,23,5573
12,8,5593
19,21,5633
9,12,5654
12,10,5676
28,32,5736
3,7,5746
13,11,5770
8,5,5783
15,15,5813
32,42,5887
5,10,5902
14,10,5926
6,4,5936
5,9,5950
14,21,5985
27,28,6040
11,7,6058
10,6,6074
12,14,6100
8,11,6119
17,16,6152
12,12,6176
10,8,6194
17,21,6232
20,25,6277
6,12,6295
16,18,6329
25,25,6379
10,0,6389
11,11,6411
10,13,6434
17,18,6469
21,19,6509
16,8,6533
24,25,6582
4,7,6593
10,6,6609
9,13,6631
10,11,6652
24,23,6699
18,16,6733
22,16,6771
21,24,6816
7,3,6826
15,12,6853
9,12,6874
7,12,6893
41,39,6973
10,14,6997
19,23,7039
27,13,7079
8,2,7089
11,10,7110
21,20,7151
10,13,7174
12,11,7197
11,12,7220
22,17,7259
2,9,7270
3,10,7283
2,10,7295
45,40,7380
25,25,7430
9,0,7439
7,4,7450
13,6,7469
8,8,7485
25,16,7526
20,26,7572
33,26,7631
4,11,7646
2,10,7658
19,19,7696
24,15,7735
35,37,7807
11,13,7831
10,2,7843
25,30,7898
7,11,7916
16,16,7948
31,28,8007
18,30,8055
7,4,8066
15,18,8099
22,24,8145
21,23,8189
63,63,8315
26,28,8369
17,11,8397
13,14,8424
14,15,8453
13,15,8481
30,27,8538
12,9,8559
18,18,8595
37,35,8667
8,6,8681
15,14,8710
12,12,8734
12,15,8761
12,10,8783
27,22,8832
36,26,8894
12,21,8927
26,26,8979
10,12,9001
24,24,9049
20,17,9086
14,12,9112
24,18,9154
21,18,9193
11,5,9209
39,47,9295
17,21,9333
14,14,9361
1,9,9371
33,29,9433
13,7,9453
4,10,9467
40,36,9543
34,34,9611
13,10,9634
23,23,9680
10,5,9695
19,20,9734
7,10,9751
9,13,9773
28,33,9834
13,11,9858
23,27,9908
15,18,9941
28,27,9996
15,9,10020
9,15,10044
26,27,10097
12,15,10124
50,50,10224
14,14,10252
18,17,10287
15,17,10319
80,79,10478
17,16,10511
36,36,10583
17,17,10617
14,17,10648
16,17,10681
14,3,10698
12,9,10719
57,50,10826
25,26,10877
9,13,10899
23,24,10946
43,41,11030
23,25,11078
15,20,11113
19,19,11151
8,11,11170
48,46,11264
11,9,11284
59,48,11391
15,18,11424
16,9,11449
21,28,11498
15,12,11525
6,9,11540
39,36,11615
42,43,11700
31,27,11758
16,15,11789
26,24,11839
77,77,11993
27,26,12046
23,24,12093
50,51,12194
11,5,12210
24,22,12256
30,34,12320
20,19,12359
25,24,12408
27,15,12450
76,79,12605
11,11,12627
11,11,12649
11,9,12669
29,25,12723
16,16,12755
11,15,12781
15,17,12813
51,47,12911
33,30,12974
10,8,12992
26,19,13037
22,20,13079
30,27,13136
39,39,13214
70,64,13348
19,21,13388
9,8,13405
36,29,13470
11,13,13494
46,52,13592
43,45,13680
13,11,13704
47,47,13798
40,38,13876
5,8,13889
16,14,13919
25,26,13970
16,17,14003
54,45,14102
13,16,14131
33,28,14192
19,23,14234
19,16,14269
12,15,14296
29,32,14357
28,30,14415
8,9,14432
31,37,14500
13,12,14525
37,33,14595
52,51,14698
82,76,14856
36,30,14922
28,29,14979
25,27,15031
14,10,15055
41,42,15138
33,36,15207
31,31,15269
43,40,15352
94,92,15538
22,20,15580
7,7,15594
33,29,15656
36,43,15735
9,6,15750
106,98,15954
22,21,15997
91,83,16171
16,11,16198
58,61,16317
14,17,16348
33,37,16418
24,27,16469
81,69,16619
58,61,16738
64,70,16872
27,28,16927
12,12,16951
26,30,17007
83,89,17179
26,23,17228
18,18,17264
18,22,17304
22,24,17350
14,12,17376
24,25,17425
31,37,17493
23,28,17544
42,48,17634
15,17,17666
6,7,17679
32,32,17743
38,40,17821
9,10,17840
87,77,18004
14,15,18033
82,85,18200
35,26,18261
30,34,18325
34,41,18400
80,82,18562
13,8,18583
42,41,18666
69,56,18791
31,34,18856
96,106,19058
25,18,19101
56,63,19220
12,16,19248
7,7,19262
66,71,19399
46,47,19492
66,76,19634
30,32,19696
23,22,19741
109,104,19954
8,7,19969
37,40,20046
61,49,20156
32,27,20215
12,5,20232
41,48,20321
61,62,20444
14,17,20475
102,97,20674
7,9,20690
23,19,20732
23,25,20780
45,55,20880
4,10,20894
87,83,21064
62,60,21186
19,22,21227
29,30,21286
14,11,21311
35,38,21384
91,89,21564
13,13,21590
48,46,21684
35,38,21757
110,112,21979
8,7,21994
186,187,22367
12,12,22391
86,94,22571
62,70,22703
94,100,22897
54,53,23004
40,37,23081
37,34,23152
106,105,23363
20,24,23407
47,47,23501
40,36,23577
13,7,23597
80,77,23754
18,20,23792
30,27,23849
77,74,24000
46,52,24098
16,21,24135
27,32,24194
14,13,24221
17,17,24255
39,35,24329
51,62,24442
11,11,24464
54,60,24578
49,46,24673
15,11,24699
123,130,24952
4,10,24966
50,49,25065
51,52,25168
38,29,25235
36,33,25304
14,14,25332
54,55,25441
18,18,25477
23,26,25526
18,14,25558
137,132,25827
10,17,25854
20,15,25889
63,72,26024
32,32,26088
137,123,26348
51,47,26446
23,23,26492
68,67,26627
6,10,26643
41,42,26726
13,14,26753
68,74,26895
10,8,26913
37,33,26983
49,62,27094
45,52,27191
66,66,27323
156,147,27626
70,65,27761
23,24,27808
32,40,27880
14,18,27912
59,65,28036
12,12,28060
20,18,28098
27,29,28154
88,86,28328
46,43,28417
39,39,28495
57,63,28615
124,130,28869
11,13,28893
16,17,28926
192,189,29307
103,96,29506
74,87,29667
19,16,29702
48,55,29805
6,7,29818
28,29,29875
14,13,29902
41,42,29985
121,112,30218
82,78,30378
64,66,30508
87,76,30671
87,77,30835
23,20,30878
27,27,30932
65,70,31067
31,35,31133
70,79,31282
41,45,31368
72,69,31509
37,36,31582
98,92,31772
114,112,31998
83,82,32163
7,13,32183
68,75,32326
60,52,32438
141,145,32724
96,90,32910
139,136,33185
61,53,33299
80,69,33448
209,208,33865
34,32,33931
32,35,33998
67,78,34143
36,42,34221
21,21,34263
54,50,34367
56,63,34486
165,157,34808
59,64,34931
21,25,34977
18,14,35009
