tm1,tm2,steps
7,8,66
10,13,89
14,15,118
10,16,144
10,10,164
6,8,178
9,4,191
13,9,213
9,7,229
8,7,244
7,18,269
11,16,296
6,9,311
2,9,322
8,11,341
8,11,360
8,13,381
9,5,395
6,8,409
14,12,435
9,3,447
18,16,481
9,3,493
4,8,505
8,5,518
16,14,548
21,14,583
8,9,600
16,11,627
5,10,642
12,7,661
10,9,680
14,10,704
29,20,753
7,2,762
4,7,773
11,9,793
8,4,805
11,7,823
20,20,863
12,17,892
9,9,910
12,7,929
8,5,942
3,8,953
10,3,966
11,5,982
8,3,993
19,16,1028
17,13,1058
13,11,1082
8,11,1101
5,8,1114
7,10,1131
13,5,1149
9,6,1164
16,11,1191
24,22,1237
22,26,1285
11,7,1303
10,6,1319
7,11,1337
9,12,1358
15,21,1394
9,11,1414
23,15,1452
14,13,1479
16,14,1509
5,10,1524
19,21,1564
9,9,1582
8,11,1601
13,8,1622
8,3,1633
11,10,1654
16,17,1687
3,7,1697
7,13,1717
6,3,1726
11,4,1741
16,9,1766
12,5,1783
6,9,1798
9,14,1821
16,20,1857
12,19,1888
2,8,1898
5,13,1916
12,18,1946
11,12,1969
3,10,1982
10,9,2001
8,10,2019
23,16,2058
4,8,2070
3,8,2081
19,22,2122
10,6,2138
22,20,2180
4,8,2192
6,9,2207
2,8,2217
14,18,2249
11,3,2263
13,13,2289
7,11,2307
22,26,2355
7,2,2364
8,4,2376
11,14,2401
11,14,2426
21,20,2467
13,7,2487
9,9,2505
25,32,2562
11,18,2591
3,12,2606
8,1,2615
11,8,2634
8,7,2649
12,14,2675
3,10,2688
5,9,2702
16,13,2731
14,10,2755
8,13,2776
12,8,2796
14,18,2828
26,22,2876
32,21,2929
20,16,2965
13,5,2983
18,18,3019
22,28,3069
11,16,3096
4,7,3107
20,20,3147
10,6,3163
11,8,3182
7,13,3202
30,24,3256
3,6,3265
16,23,3304
8,5,3317
2,9,3328
5,11,3344
8,14,3366
10,13,3389
24,18,3431
9,11,3451
23,26,3500
7,10,3517
5,8,3530
12,13,3555
10,2,3567
10,12,3589
9,7,3605
31,34,3670
23,20,3713
10,8,3731
47,35,3813
8,11,3832
24,19,3875
8,6,3889
16,15,3920
13,11,3944
16,21,3981
9,13,4003
9,3,4015
6,9,4030
49,43,4122
8,9,4139
8,2,4149
12,8,4169
15,8,4192
6,9,4207
8,6,4221
5,9,4235
7,2,4244
15,7,4266
10,0,4276
17,14,4307
8,13,4328
9,9,4346
2,10,4358
11,12,4381
27,20,4428
23,30,4481
9,17,4507
8,12,4527
14,15,4556
18,14,4588
19,8,4615
14,6,4635
21,19,4675
16,10,4701
9,8,4718
21,20,4759
6,12,4777
19,23,4819
10,15,4844
1,9,4854
10,5,4869
31,26,4926
17,18,4961
14,8,4983
10,14,5007
17,21,5045
8,12,5065
13,6,5084
29,30,5143
17,15,5175
5,8,5188
6,11,5205
19,18,5242
11,3,5256
12,6,5274
9,11,5294
18,14,5326
9,13,5348
23,24,5395
15,9,5419
13,11,5443
10,8,5461
5,9,5475
30,33,5538
10,15,5563
4,8,5575
15,13,5603
12,21,5636
19,28,5683
51,35,5769
23,25,5817
11,7,5835
15,10,5860
9,9,5878
57,70,6005
17,15,6037
7,11,6055
26,28,6109
11,12,6132
31,31,6194
16,18,6228
