<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000017DC9FEF300>
[24.19681549 24.77568817]
[25.5716362  23.47322655]
[23.90738106 24.55861092]
[24.99276352 23.61794472]
[23.90738106 24.55861092]
[24.99276352 23.61794472]
[23.90738106 24.55861092]
[24.99276352 23.61794472]
[23.97974014 24.26917458]
[24.99276352 23.61794472]
[23.97974014 24.26917458]
[24.63097    23.40086746]
[23.97974014 24.26917458]
[24.63097    23.40086746]
[23.97974014 24.26917458]
[24.63097    23.40086746]
[23.97974014 24.26917458]
[24.63097    23.40086746]
[23.61794472 24.05209732]
[24.12445831 23.40086746]
[23.61794472 24.05209732]
[24.12445831 23.40086746]
[23.61794472 24.05209732]
[24.12445831 23.40086746]
[23.61794472 24.05209732]
[24.05209732 23.03907394]
[23.83502197 23.90738106]
[24.05209732 23.03907394]
[23.83502197 23.90738106]
[24.05209732 23.03907394]
[23.83502197 23.90738106]
[24.05209732 23.03907394]
[23.83502197 23.90738106]
[24.05209732 23.03907394]
[23.83502197 24.63097   ]
[23.83502197 23.6903038 ]
[23.90738106 24.41389275]
[23.6903038  23.61794472]
[23.83502197 24.05209732]
[23.6903038  23.61794472]
[23.83502197 24.05209732]
[23.6903038  23.61794472]
[23.83502197 24.05209732]
[23.6903038  23.61794472]
[23.83502197 24.05209732]
[23.6903038  23.61794472]
[23.6903038  23.97974014]
[23.6903038  23.61794472]
[23.6903038  23.97974014]
[23.6903038  23.61794472]
[23.6903038  23.97974014]
[23.6903038  23.61794472]
[23.6903038  23.97974014]
[23.6903038  23.61794472]
[23.6903038  23.97974014]
[24.70332909 22.315485  ]
[22.96671486 22.60491943]
[22.96671486 22.60491943]
[23.11143303 22.09840775]
[22.7496376  21.15774155]
[23.11143303 21.30245972]
[23.11143303 21.30245972]
[23.11143303 21.30245972]
