<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000017DC9FEF300>
[22.315485   27.23588943]
[24.26917458 24.99276352]
[24.92040634 25.28219986]
[24.84804535 24.99276352]
[23.40086746 24.99276352]
[23.40086746 24.99276352]
[23.03907394 24.77568817]
[23.32851028 25.28219986]
[23.32851028 25.28219986]
[22.67727852 24.26917458]
[24.05209732 22.67727852]
[22.09840775 23.11143303]
[22.82199669 22.89435577]
[23.18379211 22.38784409]
[22.96671486 22.38784409]
[22.17076683 22.96671486]
[22.96671486 22.38784409]
[23.6903038  23.11143303]
[22.67727852 24.34153366]
[22.17076683 22.96671486]
[22.96671486 22.38784409]
[22.17076683 22.96671486]
[22.96671486 22.38784409]
[22.17076683 22.96671486]
[22.96671486 22.38784409]
[23.6903038  23.11143303]
[22.67727852 24.34153366]
[22.17076683 22.96671486]
[23.6903038  22.38784409]
[22.17076683 22.96671486]
[23.6903038  22.38784409]
[23.6903038  23.11143303]
[22.67727852 24.34153366]
[23.03907394 23.6903038 ]
[23.6903038  22.38784409]
[23.03907394 23.6903038 ]
[23.6903038  22.38784409]
[24.92040634 23.32851028]
[22.67727852 24.34153366]
[23.03907394 23.6903038 ]
[23.6903038  22.38784409]
[23.03907394 23.6903038 ]
[23.6903038  22.38784409]
[24.92040634 23.32851028]
[22.67727852 24.34153366]
[23.03907394 23.6903038 ]
[23.6903038  22.38784409]
[24.92040634 23.32851028]
[22.67727852 24.34153366]
[23.03907394 23.6903038 ]
[23.6903038  22.38784409]
[23.03907394 23.6903038 ]
[23.6903038  22.38784409]
[24.92040634 23.32851028]
[22.67727852 24.34153366]
[23.03907394 23.6903038 ]
[23.6903038  22.38784409]
[24.92040634 23.32851028]
[22.67727852 24.34153366]
[23.03907394 23.6903038 ]
[23.6903038  22.38784409]
[24.92040634 23.32851028]
[22.67727852 24.34153366]
[23.03907394 23.6903038 ]
[23.6903038  22.38784409]
[24.92040634 23.32851028]
[22.67727852 24.34153366]
[24.92040634 23.32851028]
[22.67727852 24.34153366]
[23.03907394 23.6903038 ]
[23.6903038  22.38784409]
[24.92040634 23.32851028]
[22.67727852 24.34153366]
[23.03907394 23.6903038 ]
[23.6903038  22.38784409]
[24.92040634 23.32851028]
[22.67727852 24.34153366]
[24.92040634 23.32851028]
[22.67727852 24.34153366]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.53256226 22.89435577]
[24.05209732 22.67727852]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.53256226 22.89435577]
[24.05209732 22.67727852]
[23.03907394 23.6903038 ]
[23.6903038  22.38784409]
[24.92040634 23.32851028]
[22.67727852 24.34153366]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.53256226 22.89435577]
[23.6903038  22.38784409]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.53256226 22.89435577]
[24.05209732 22.67727852]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.53256226 22.89435577]
[24.05209732 22.67727852]
[23.03907394 23.6903038 ]
[23.6903038  22.38784409]
[24.92040634 23.32851028]
[22.67727852 24.34153366]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.53256226 22.89435577]
[23.6903038  22.38784409]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.53256226 22.89435577]
[24.05209732 22.67727852]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.53256226 22.89435577]
[23.6903038  22.38784409]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.53256226 22.89435577]
[24.05209732 22.67727852]
[23.03907394 23.6903038 ]
[23.6903038  22.38784409]
[24.92040634 23.32851028]
[22.67727852 24.34153366]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.53256226 22.89435577]
[23.6903038  22.38784409]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.53256226 22.89435577]
[24.05209732 22.67727852]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.53256226 22.89435577]
[24.05209732 22.67727852]
[23.03907394 23.6903038 ]
[23.6903038  22.38784409]
[24.92040634 23.32851028]
[22.67727852 24.34153366]
[22.96671486 22.67727852]
[22.67727852 24.34153366]
[22.96671486 22.67727852]
[22.09840775 22.7496376 ]
[22.96671486 22.67727852]
[22.09840775 22.7496376 ]
[22.96671486 22.67727852]
[22.09840775 22.7496376 ]
[22.53256226 22.89435577]
[24.05209732 22.67727852]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.53256226 22.89435577]
[24.05209732 22.67727852]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.53256226 22.89435577]
[24.05209732 22.67727852]
[23.03907394 23.6903038 ]
[23.6903038  22.38784409]
[24.92040634 23.32851028]
[22.67727852 24.34153366]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.53256226 22.89435577]
[24.05209732 22.67727852]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.53256226 22.89435577]
[24.05209732 22.67727852]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.67727852 24.26917458]
[24.05209732 22.67727852]
[23.03907394 23.6903038 ]
[23.6903038  22.38784409]
[24.92040634 23.32851028]
[22.67727852 24.34153366]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.53256226 22.89435577]
[23.6903038  22.38784409]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.53256226 22.89435577]
[24.05209732 22.67727852]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.96671486 22.67727852]
[21.8813324  23.54558563]
[22.53256226 22.89435577]
