<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x00000159576A8F20>
[23.61794472 23.6903038 ]
[25.0651226 23.6903038]
[22.96671486 23.61794472]
[24.84804535 23.47322655]
[22.96671486 23.61794472]
[24.84804535 23.47322655]
[22.96671486 23.61794472]
[24.84804535 23.47322655]
[23.6903038  23.83502197]
[24.84804535 23.47322655]
[23.6903038  23.83502197]
[24.48625183 23.32851028]
[23.6903038  23.83502197]
[24.48625183 23.32851028]
[23.6903038  23.83502197]
[24.48625183 23.32851028]
[23.6903038  23.83502197]
[24.48625183 23.32851028]
[23.90738106 23.83502197]
[23.76266289 23.47322655]
[23.2561512  23.47322655]
[22.96671486 23.54558563]
[22.96671486 23.61794472]
[24.84804535 23.47322655]
[22.96671486 23.61794472]
[24.84804535 23.47322655]
[22.96671486 23.61794472]
[24.84804535 23.47322655]
[22.96671486 23.61794472]
[24.84804535 23.47322655]
[22.96671486 23.61794472]
[24.84804535 23.47322655]
[22.96671486 23.61794472]
[24.84804535 23.47322655]
[22.96671486 23.61794472]
[24.84804535 23.47322655]
[22.96671486 23.61794472]
[24.84804535 23.47322655]
[22.96671486 23.61794472]
[24.84804535 23.47322655]
[22.96671486 23.61794472]
[24.84804535 23.47322655]
[22.96671486 23.61794472]
[24.84804535 23.47322655]
[22.89435577 23.61794472]
[24.26917458 23.40086746]
[22.89435577 23.61794472]
[24.26917458 23.40086746]
[22.89435577 23.61794472]
[24.26917458 23.40086746]
[22.89435577 23.61794472]
[24.26917458 23.40086746]
[22.89435577 23.61794472]
[24.26917458 23.40086746]
[23.03907394 23.61794472]
[23.40086746 23.40086746]
[23.03907394 23.61794472]
[23.40086746 23.40086746]
[23.03907394 23.61794472]
[23.40086746 23.40086746]
[23.03907394 23.61794472]
[23.40086746 23.90738106]
[24.92040634 24.55861092]
[23.40086746 23.40086746]
[23.03907394 23.61794472]
[23.03907394 23.83502197]
[24.63097    23.97974014]
[23.03907394 23.83502197]
[24.63097    23.97974014]
[23.03907394 23.83502197]
[24.63097    23.97974014]
[23.03907394 23.83502197]
[24.63097    23.97974014]
[23.03907394 23.83502197]
[24.63097    23.97974014]
[23.03907394 23.83502197]
[24.63097    23.97974014]
[23.03907394 23.83502197]
[24.63097    23.97974014]
[23.11143303 24.05209732]
[23.40086746 23.90738106]
[24.92040634 24.70332909]
[23.40086746 23.90738106]
[24.92040634 24.70332909]
[23.40086746 23.90738106]
[24.92040634 24.70332909]
[22.96671486 23.47322655]
[24.05209732 23.83502197]
[22.96671486 23.47322655]
[24.05209732 23.83502197]
[22.96671486 23.47322655]
[24.05209732 23.83502197]
[22.96671486 23.47322655]
[24.05209732 23.83502197]
[22.96671486 23.47322655]
[24.05209732 23.83502197]
[22.96671486 23.47322655]
[24.05209732 23.83502197]
[22.96671486 23.47322655]
[24.05209732 23.83502197]
[22.96671486 23.47322655]
[24.05209732 23.83502197]
[22.96671486 23.47322655]
[24.05209732 23.83502197]
[23.11143303 23.6903038 ]
[23.6903038  24.05209732]
[24.92040634 24.70332909]
[23.54558563 23.83502197]
[24.05209732 23.97974014]
[23.54558563 23.83502197]
[24.05209732 23.97974014]
[23.54558563 23.83502197]
[24.05209732 23.97974014]
[23.18379211 23.6903038 ]
[29.40665817 30.49204063]
[29.47901535 30.6367569 ]
[29.47901535 30.6367569 ]
[28.61071014 29.55137444]
[28.61071014 29.55137444]
[28.90014458 29.11722183]
[28.90014458 29.11722183]
[28.90014458 29.11722183]
[22.53256226 23.40086746]
[23.54558563 23.47322655]
[22.24312592 23.40086746]
[23.18379211 23.76266289]
[26.15050697 23.90738106]
[23.2561512  22.89435577]
[22.09840775 22.82199669]
[23.2561512  22.89435577]
[22.02604866 22.67727852]
[22.7496376  22.67727852]
[22.02604866 22.67727852]
[22.7496376  22.67727852]
[22.02604866 22.67727852]
[23.18379211 22.38784409]
[22.38784409 22.60491943]
[23.18379211 22.38784409]
[22.38784409 22.60491943]
[23.18379211 22.38784409]
[22.38784409 22.60491943]
[23.18379211 22.38784409]
[22.38784409 22.60491943]
[23.18379211 22.38784409]
[22.38784409 22.60491943]
[23.18379211 22.38784409]
[22.46020317 23.11143303]
[22.89435577 22.60491943]
[22.53256226 22.96671486]
[22.89435577 22.60491943]
[22.53256226 22.96671486]
[22.89435577 22.60491943]
[22.96671486 23.32851028]
[23.32851028 22.67727852]
[22.96671486 23.32851028]
[23.32851028 22.67727852]
[23.2561512 22.7496376]
[22.82199669 23.47322655]
[23.2561512 22.7496376]
[22.82199669 23.47322655]
[23.2561512 22.7496376]
[22.96671486 23.32851028]
[23.2561512 22.7496376]
[22.96671486 23.32851028]
[23.2561512 22.7496376]
[23.2561512 22.7496376]
[23.11143303 23.11143303]
[22.7496376  23.40086746]
[22.67727852 22.82199669]
[22.7496376  22.53256226]
[22.67727852 22.82199669]
[22.7496376  22.53256226]
[22.67727852 22.60491943]
[22.82199669 23.54558563]
[22.67727852 22.60491943]
[22.82199669 23.54558563]
[22.67727852 22.60491943]
[22.96671486 23.47322655]
[24.19681549 24.70332909]
[23.61794472 22.89435577]
[23.18379211 24.05209732]
[23.54558563 23.83502197]
[24.12445831 22.82199669]
[23.40086746 23.2561512 ]
[23.32851028 23.54558563]
[23.40086746 23.2561512 ]
[24.12445831 23.47322655]
[23.11143303 23.03907394]
[21.80897331 22.89435577]
[21.80897331 23.18379211]
[23.18379211 24.05209732]
[23.54558563 23.83502197]
[24.12445831 22.82199669]
[23.54558563 23.83502197]
[23.32851028 22.09840775]
[23.40086746 23.2561512 ]
[24.12445831 23.47322655]
[23.11143303 23.03907394]
[21.80897331 22.89435577]
[21.80897331 23.18379211]
[23.18379211 24.05209732]
[23.54558563 23.83502197]
[24.12445831 22.82199669]
[23.54558563 23.83502197]
[23.32851028 22.09840775]
[23.40086746 23.2561512 ]
[24.12445831 23.47322655]
[23.11143303 23.03907394]
[21.80897331 22.89435577]
[21.80897331 23.18379211]
[23.18379211 24.05209732]
[23.54558563 23.83502197]
[24.12445831 22.82199669]
[23.54558563 23.83502197]
[24.12445831 22.82199669]
[23.40086746 23.2561512 ]
[23.32851028 23.54558563]
[23.40086746 23.2561512 ]
[23.32851028 23.76266289]
[23.6903038  23.61794472]
[23.32851028 23.76266289]
[23.6903038  23.61794472]
[23.32851028 23.76266289]
[23.6903038  23.61794472]
[24.05209732 23.83502197]
[22.67727852 23.54558563]
[23.32851028 23.76266289]
[23.61794472 23.97974014]
[23.61794472 22.82199669]
[23.6903038  23.11143303]
[24.05209732 23.83502197]
[24.05209732 23.76266289]
[22.67727852 23.54558563]
[22.38784409 23.61794472]
[22.96671486 23.97974014]
[23.61794472 23.97974014]
[24.41389275 23.47322655]
[23.61794472 23.97974014]
[24.41389275 23.47322655]
[23.6903038  23.61794472]
[23.32851028 23.76266289]
[23.6903038  23.61794472]
[23.32851028 23.76266289]
[23.6903038  23.61794472]
[23.32851028 23.76266289]
[23.6903038  23.61794472]
[23.32851028 23.76266289]
[23.6903038  23.61794472]
[23.32851028 23.76266289]
[23.6903038  23.61794472]
[23.32851028 23.76266289]
[23.6903038  23.61794472]
[23.32851028 23.76266289]
[23.6903038  23.61794472]
