<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000017DC9FEF300>
[21.30245972 22.315485  ]
[22.315485   21.23010063]
[21.01302528 22.67727852]
[21.8813324 21.8813324]
[21.01302528 22.67727852]
[21.8813324 21.8813324]
[21.01302528 22.67727852]
[21.8813324 21.8813324]
[21.08538437 22.02604866]
[21.8813324 21.8813324]
[21.08538437 22.02604866]
[21.44717789 21.73661423]
[21.44717789 21.30245972]
[20.65122986 21.51953697]
[20.72358894 21.30245972]
[20.72358894 21.30245972]
[20.72358894 21.30245972]
[20.72358894 21.30245972]
[20.72358894 21.30245972]
[20.72358894 21.30245972]
[24.26917458 24.48625183]
[24.70332909 23.18379211]
[23.32851028 24.34153366]
[23.40086746 23.90738106]
[25.13748169 23.18379211]
[23.32851028 23.2561512 ]
[23.47322655 23.97974014]
[23.32851028 23.2561512 ]
[23.97974014 23.90738106]
[25.13748169 26.22286606]
[23.47322655 23.97974014]
[23.32851028 23.2561512 ]
[23.47322655 23.97974014]
[23.32851028 23.2561512 ]
[23.47322655 23.97974014]
[23.32851028 23.2561512 ]
[23.97974014 23.90738106]
[25.13748169 26.22286606]
[23.47322655 23.97974014]
[23.76266289 22.7496376 ]
[23.47322655 23.97974014]
[23.76266289 22.7496376 ]
[23.97974014 23.90738106]
[25.13748169 26.22286606]
[24.19681549 23.6903038 ]
[24.19681549 25.64399338]
[24.26917458 24.48625183]
[24.70332909 23.18379211]
[24.19681549 23.6903038 ]
[24.19681549 25.64399338]
[23.32851028 24.34153366]
[24.70332909 23.18379211]
[23.32851028 24.34153366]
[23.40086746 23.90738106]
[23.6903038 22.7496376]
[23.2561512  23.11143303]
[23.97974014 23.90738106]
[25.13748169 26.22286606]
[23.47322655 23.97974014]
[23.76266289 22.7496376 ]
[23.97974014 23.90738106]
[24.19681549 25.64399338]
[24.19681549 23.6903038 ]
[24.19681549 25.64399338]
[24.26917458 24.48625183]
[24.70332909 23.18379211]
[23.32851028 24.34153366]
[24.70332909 23.18379211]
[23.47322655 23.97974014]
[23.32851028 23.2561512 ]
[23.47322655 23.97974014]
[23.32851028 23.2561512 ]
[23.54558563 23.97974014]
[23.18379211 23.18379211]
[24.05209732 23.83502197]
[25.20984077 24.70332909]
[24.41389275 24.63097   ]
[23.61794472 25.13748169]
[23.32851028 24.34153366]
[23.40086746 23.90738106]
