<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000026DC5B27990>
[41.28453064 41.34898758]
[41.09115982 41.2200737 ]
[40.99447632 41.18784332]
[40.86556244 40.83333206]
[41.2200737  40.86556244]
[40.96224594 41.05893326]
[41.18784332 40.99447632]
[40.63996124 40.83333206]
[40.96224594 40.76887512]
[40.8011055  41.25230408]
[40.51105118 40.34990692]
[39.89871216 40.1565361 ]
[39.93093872 39.6408844 ]
[39.99539566 40.0598526 ]
[39.38305664 39.2219162 ]
[39.51197052 39.54419708]
[39.38305664 39.2219162 ]
[39.51197052 39.54419708]
[39.38305664 39.2219162 ]
[39.51197052 39.54419708]
[39.38305664 39.2219162 ]
[39.51197052 39.54419708]
