<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000019C4C33BED0>
[-10.58036041 -10.58036041 -11.0267868 ]
[-12.36607361 -10.80357361  -9.01786041]
[-10.58036041 -10.58036041 -11.0267868 ]
[-11.0267868  -8.125      -9.6875   ]
[-14.1517868  -11.69642639 -10.58036041]
[ -9.6875    -11.0267868 -11.0267868]
[-10.58036041 -10.58036041 -11.0267868 ]
[-11.0267868  -8.125      -9.6875   ]
[-10.58036041 -11.25       -11.0267868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361  -8.125      -10.35713959]
[-11.4732132  -13.92857361 -13.48213959]
[-10.58036041 -10.58036041 -11.0267868 ]
[-11.0267868  -8.125      -9.6875   ]
[-11.0267868  -8.125      -9.6875   ]
[-10.58036041 -10.58036041 -11.0267868 ]
[-11.0267868  -8.125      -9.6875   ]
[-10.58036041 -11.25       -11.0267868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361  -8.125      -10.35713959]
[-11.4732132  -13.92857361 -13.48213959]
[-10.58036041 -10.58036041 -11.0267868 ]
[-11.0267868  -8.125      -9.6875   ]
[-10.58036041 -11.25       -11.0267868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361  -8.125      -10.35713959]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.58036041 -10.58036041 -11.0267868 ]
[-11.0267868  -8.125      -9.6875   ]
[-11.4732132  -13.92857361 -13.48213959]
[-10.80357361  -9.01786041 -10.58036041]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.58036041  -7.23213959  -8.57142639]
[-12.36607361  -8.125      -10.35713959]
[-11.4732132  -13.92857361 -13.48213959]
[-10.58036041 -10.58036041 -11.0267868 ]
[-11.0267868  -8.125      -9.6875   ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
[-12.36607361 -12.5892868  -12.5892868 ]
[-10.80357361  -9.01786041 -10.58036041]
