<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x000002132D5F73E0>
[20. 20.]
[20.50561714 20.        ]
[20.50561714 20.        ]
[20.50561714 20.        ]
[20.50561714 20.        ]
[20.50561714 20.        ]
[20.50561714 20.        ]
[20.50561714 20.        ]
[25. 25.]
[25. 25.]
[25. 25.]
[25. 25.]
[25. 25.]
[25. 25.]
[25. 25.]
[25. 25.]
[26.05851936 20.        ]
[30.12048149 20.        ]
[31.15318298 20.        ]
[31.70395851 20.        ]
[35.00860596 20.        ]
[31.15318298 20.        ]
[28.33046341 20.        ]
[28.33046341 20.        ]
[30. 30.]
[30. 30.]
[30. 30.]
[30. 30.]
[30. 30.]
[30. 30.]
[30. 30.]
[30. 30.]
[22.91497993 25.02024269]
[22.95546532 24.33198357]
[23.31983757 24.08906937]
[23.36032486 23.68420982]
[23.03643799 22.91497993]
[22.79352188 22.59109306]
[22.87449455 22.46963501]
[22.67206573 22.55060768]
[22.46963501 23.23886681]
[22.67206573 21.90283394]
[22.42914963 22.91497993]
[22.83400726 21.57894707]
[22.34817886 22.67206573]
[22.83400726 21.57894707]
[22.26720619 22.42914963]
[22.83400726 21.57894707]
[22.38866425 22.46963501]
[22.79352188 21.45748901]
[22.34817886 22.38866425]
[22.79352188 21.45748901]
[22.34817886 22.10526276]
[22.67206573 22.91497993]
[22.46963501 21.82186317]
[22.63157845 22.46963501]
[22.87449455 24.17004013]
[22.55060768 22.10526276]
[22.79352188 23.7651825 ]
[22.67206573 21.90283394]
[22.67206573 23.11740875]
[22.67206573 21.90283394]
[22.63157845 23.31983757]
[22.7530365  22.26720619]
[22.59109306 23.15789413]
